Pharma Model,Num Feature,Fit,Norm Fit,Num Hydrophobic,Num HB Acceptor,Num HB Donor,Num Positive,Num Negative,Num Aromatic,Name,Class,Uniplot,Function,Disease,Idication
2id4_B_cavity_3,9,4.924,0.5471,4,2,1,0,2,0,Kexin,NONE,P13134,NONE,NONE,NONE
2bsk_D_cavity_1,8,4.374,0.5468,5,0,1,0,2,0,Mitochondrial import inner membrane translocase subunit Tim9,NONE,Q9Y5J7,NONE,NONE,NONE
1lns_A_cavity_2,7,3.818,0.5454,3,0,2,1,1,0,Xaa-Pro dipeptidyl-peptidase,NONE,P22346,NONE,NONE,NONE
1m3s_A_cavity_1,7,3.812,0.5446,4,1,1,0,1,0,3-hexulose-6-phosphate isomerase,NONE,P42404,NONE,NONE,NONE
1bs2_A_cavity_3,7,3.811,0.5445,6,1,0,0,0,0,"Arginyl-tRNA synthetase, cytoplasmic",NONE,Q05506,NONE,NONE,NONE
1n2c_D_cavity_4,8,4.351,0.5439,6,1,1,0,0,0,Nitrogenase molybdenum-iron protein alpha chain,NONE,P07328,NONE,NONE,NONE
1xv9_D_cavity_1,7,3.795,0.5422,7,0,0,0,0,0,Nuclear receptor subfamily 1 group I member 3,DNA BINDING PROTEIN,NR1I3_HUMAN,Binds and transactivates the retinoic acid response elements that control expression of the retinoic acid receptor beta 2 and alcohol dehydrogenase 3 genes. Transactivates both the phenobarbital responsive element module of the human CYP2B6 gene and the C,NONE,NONE
3dwl_D_cavity_1,7,3.793,0.5419,6,0,0,0,1,0,Actin-related protein 3,NONE,P32390,NONE,NONE,NONE
1wl4_A_cavity_1,8,4.332,0.5415,5,1,1,0,1,0,"Acetyl-CoA acetyltransferase, cytosolic",NONE,Q9BWD1,Lipid transport and metabolism,NONE,NONE
2zv8_A_cavity_2,11,5.941,0.5401,5,2,1,3,0,0,Tyrosine-protein kinase Lyn,NONE,P25911,NONE,NONE,NONE
1m1b_B_cavity_1,7,3.778,0.5397,4,2,0,0,1,0,Phosphoenolpyruvate phosphomutase,NONE,P56839,Carbohydrate transport and metabolism,NONE,NONE
1r19_A_cavity_1,7,3.773,0.539,5,1,1,0,0,0,Serine-aspartate repeat-containing protein G,NONE,Q9KI13,NONE,NONE,NONE
1d5y_D_cavity_1,8,4.307,0.5384,4,2,0,1,1,0,Right origin-binding protein,NONE,P0ACI0,NONE,NONE,NONE
3bom_B_cavity_1,7,3.768,0.5383,6,0,0,0,1,0,Hemoglobin subunit alpha-4,NONE,P14527,NONE,NONE,NONE
1jh6_A_cavity_1,11,5.921,0.5382,5,1,2,0,3,0,Cyclic phosphodiesterase,NONE,O04147,Involved in cyclic-nucleotide phosphodiesterase activity,NONE,NONE
2ee4_A_cavity_1,8,4.303,0.5378,5,2,0,0,1,0,Rho GTPase-activating protein 5,NONE,Q13017,NONE,NONE,NONE
1ix1_B_cavity_1,7,3.757,0.5367,3,1,1,1,1,0,Peptide deformylase,NONE,Q9I7A8,"Translation, ribosomal structure and biogenesis",NONE,NONE
1mba_A_cavity_1,7,3.752,0.536,6,0,0,0,1,0,Globin,NONE,P02210,Involved in iron ion binding,NONE,NONE
1nst_A_cavity_1,7,3.749,0.5355,4,1,0,1,1,0,Bifunctional heparan sulfate N-deacetylase/N-sulfotransferase 1,NONE,P52848,Involved in sulfotransferase activity,NONE,NONE
1q2h_C_cavity_1,8,4.278,0.5348,8,0,0,0,0,0,SH2B adapter protein 2,NONE,O14492,NONE,NONE,NONE
1a3x_B_cavity_3,7,3.741,0.5344,5,2,0,0,0,0,Pyruvate kinase 1,NONE,P00549,Carbohydrate transport and metabolism,NONE,NONE
2vpg_B_cavity_1,8,4.267,0.5334,6,1,1,0,0,0,B-cell CLL/lymphoma 9 protein,GENE REGULATION,BCL9_HUMAN,Involved in signal transduction through the Wnt pathway. Promotes beta-catenins transcriptional activity (By similarity).,"A chromosomal aberration involving BCL9 is found in a patient with precusor B-cell acute lymphoblastic leukemia (ALL). Translocation t(1;14)(q21;q32). This translocation leaves the coding region intact, but may have pathogenic effects due to alterations in the expression level of BCL9. Several cases of translocations within the 3-UTR of BCL9 have been found in B-cell malignancies.",NONE
2w9h_A_cavity_1,9,4.794,0.5327,5,1,1,1,1,0,Dihydrofolate reductase,NONE,P0A017,NONE,NONE,NONE
1t6l_A_cavity_1,7,3.715,0.5307,5,2,0,0,0,0,DNA polymerase processivity factor,NONE,P16790,NONE,NONE,NONE
1lss_B_cavity_1,7,3.711,0.5301,7,0,0,0,0,0,Trk system potassium uptake protein trkA homolog,NONE,Q58505,Involved in cation transmembrane transporter activity,NONE,NONE
3blv_A_cavity_2,9,4.769,0.5299,6,1,0,1,1,0,"Isocitrate dehydrogenase [NAD] subunit 1, mitochondrial",NONE,P28834,NONE,NONE,NONE
1gka_B_cavity_1,7,3.705,0.5293,6,0,1,0,0,0,Crustacyanin-A1 subunit,NONE,P58989,Involved in binding,NONE,NONE
3fz7_F_cavity_2,7,3.703,0.529,5,0,1,1,0,0,Glutamate decarboxylase beta,NONE,P69910,NONE,NONE,NONE
2rmp_A_cavity_2,7,3.695,0.5278,5,0,1,1,0,0,Mucorpepsin,NONE,P00799,Involved in aspartic-type endopeptidase activity,NONE,NONE
1w2z_A_cavity_3,8,4.22,0.5275,6,1,1,0,0,0,Amine oxidase [copper-containing],NONE,Q43077,Involved in copper ion binding,NONE,NONE
1e29_A_cavity_1,7,3.691,0.5273,6,1,0,0,0,0,Cytochrome c-550,NONE,Q55013,NONE,NONE,NONE
2qnc_B_cavity_1,7,3.684,0.5263,6,1,0,0,0,0,Recombination endonuclease VII,NONE,P13340,NONE,NONE,NONE
1qls_A_cavity_1,7,3.68,0.5258,7,0,0,0,0,0,Annexin A1,COMPLEX (LIGAND/ANNEXIN),ANXA1_HUMAN,Calcium/phospholipid-binding protein which promotes membrane fusion and is involved in exocytosis. This protein regulates phospholipase A2 activity. It seems to bind from two to four calcium ions with high affinity.,NONE,Cancer
2r55_A_cavity_1,7,3.68,0.5257,4,1,1,1,0,0,StAR-related lipid transfer protein 5,NONE,Q9NSY2,NONE,NONE,NONE
2rf4_A_cavity_1,7,3.679,0.5255,5,1,1,0,0,0,DNA-directed RNA polymerase I subunit RPA43,NONE,P46669,NONE,NONE,NONE
1pvn_B_cavity_2,7,3.678,0.5255,5,1,1,0,0,0,Inosine-5-monophosphate dehydrogenase,NONE,P50097,Nucleotide transport and metabolism,NONE,"For the prophylaxis of organ rejection in patients receiving allogeneic renal transplants, administered in combination with cyclosporine and corticosteroids."
2iuk_B_cavity_1,7,3.675,0.525,5,1,0,1,0,0,Seed lipoxygenase,NONE,P24095,NONE,NONE,NONE
7fab_H_cavity_1,7,3.673,0.5247,4,1,1,1,0,0,Ig heavy chain V-II region NEWM,NONE,P01825,NONE,NONE,NONE
1lrz_A_cavity_2,7,3.67,0.5243,4,0,2,1,0,0,Aminoacyltransferase femA,NONE,P0A0A5,NONE,NONE,NONE
1hfe_M_cavity_4,7,3.67,0.5243,3,1,1,1,1,0,Periplasmic [Fe] hydrogenase large subunit,NONE,P07598,NONE,NONE,NONE
1uf2_E_cavity_1,7,3.669,0.5241,6,0,1,0,0,0,Major 114 kDa structural protein,NONE,P22472,NONE,NONE,NONE
1f0n_A_cavity_1,9,4.704,0.5227,6,2,0,0,1,0,Antigen 85-B,NONE,P0C5B9,NONE,NONE,NONE
1sy6_H_cavity_1,8,4.18,0.5226,5,1,1,1,0,0,T-cell surface glycoprotein CD3 epsilon chain,SIGNALING PROTEIN/ANTIBIOTIC,CD3E_HUMAN,The CD3 complex mediates signal transduction.,NONE,NONE
2dtg_C_cavity_1,7,3.649,0.5212,6,1,0,0,0,0,Insulin receptor,HORMONE RECEPTOR/IMMUNE SYSTEM,INSR_HUMAN,This receptor binds insulin and has a tyrosine-protein kinase activity. Isoform Short has a higher affinity for insulin. Mediates the metabolic functions of insulin. Binding to insulin stimulates association of the receptor with downstream mediators inclu,"Defects in INSR are the cause of insulin resistance (Ins resistance) [MIM:125853].;Defects in INSR are the cause of Rabson-Mendenhall syndrome [MIM:262190]; also known as Mendenhall syndrome. It is a severe insulin resistance syndrome characterized by insulin- resistant diabetes mellitus with pineal hyperplasia and somatic abnormalities. Typical features include coarse, senile-appearing facies, dental and skin abnormalities, abdominal distension, and phallic enlargement. Inheritance is autosomal recessive.;Defects in INSR are the cause of leprechaunism [MIM:246200]; also known as Donohue syndrome. Leprechaunism represents the most severe form of insulin resistance syndrome, characterized by intrauterine and postnatal growth retardation and death in early infancy. Inheritance is autosomal recessive.;Defects in INSR may be associated with noninsulin- dependent diabetes mellitus (NIDDM) [MIM:125853]; also known as diabetes mellitus type 2.;Defects in INSR are the cause of familial hyperinsulinemic hypoglycemia 5 (HHF5) [MIM:609968]. Familial hyperinsulinemic hypoglycemia [MIM:256450], also referred to as congenital hyperinsulinism, nesidioblastosis, or persistent hyperinsulinemic hypoglycemia of infancy (PPHI), is the most common cause of persistent hypoglycemia in infancy and is due to defective negative feedback regulation of insulin secretion by low glucose levels.;Defects in INSR are the cause of insulin-resistant diabetes mellitus with acanthosis nigricans type A (IRAN type A) [MIM:610549]. This syndrome is characterized by the association of severe insulin resistance (manifested by marked hyperinsulinemia and a failure to respond to exogenous insulin) with the skin lesion acanthosis nigricans and ovarian hyperandrogenism in adolescent female subjects. Women frequently present with hirsutism, acne, amenorrhea or oligomenorrhea, and virilization. This syndrome is different from the type B that has been demonstrated to be secondary to the presence of circulating autoantibodies against the insulin receptor.",Insulin dependent diabetes;Cancer;Non-insulin dependent diabetes;Infection;Parkinsons disease;Hypertension;Diabetes mellitus;Hyperinsulinemia
1jnd_A_cavity_1,12,6.246,0.5205,6,1,2,0,3,0,Chitinase-like protein Idgf2,NONE,Q9V3D4,Involved in nutrient reservoir activity,NONE,NONE
1rym_A_cavity_1,8,4.159,0.5198,6,1,0,0,1,0,"Chloroplastic group IIB intron splicing facilitator CRS2, chloroplastic",NONE,Q9M5P4,NONE,NONE,NONE
1ugr_B_cavity_2,7,3.635,0.5193,5,1,1,0,0,0,Cobalt-containing nitrile hydratase subunit alpha,NONE,Q7SID2,NONE,NONE,NONE
1woj_A_cavity_1,7,3.631,0.5188,5,0,1,0,1,0,"2,3-cyclic-nucleotide 3-phosphodiesterase",NONE,P09543,NONE,NONE,NONE
1k1d_A_cavity_2,7,3.629,0.5184,3,1,1,1,1,0,D-hydantoinase,NONE,Q45515,Nucleotide transport and metabolism,NONE,NONE
1bq6_A_cavity_2,7,3.623,0.5176,4,1,1,0,1,0,Chalcone synthase 2,NONE,P30074,"Secondary metabolites biosynthesis, transport and catabolism",NONE,NONE
1yaf_B_cavity_2,7,3.619,0.517,4,1,1,1,0,0,Thiaminase-2,NONE,P25052,Transcription,NONE,NONE
1prx_A_cavity_1,7,3.619,0.517,6,1,0,0,0,0,Peroxiredoxin-6,NONE,P30041,NONE,NONE,NONE
2cst_B_cavity_1,7,3.618,0.5169,5,1,0,1,0,0,"Aspartate aminotransferase, cytoplasmic",NONE,P00504,"Involved in transferase activity, transferring nitrogenous groups",NONE,NONE
1zyi_A_cavity_3,8,4.127,0.5159,8,0,0,0,0,0,Methylosome subunit pICln,NONE,P35521,NONE,NONE,NONE
1oqs_H_cavity_1,8,4.124,0.5156,5,1,1,1,0,0,Phospholipase A2 RV-7,NONE,P31100,NONE,NONE,NONE
2k9f_A_cavity_1,7,3.6,0.5143,6,0,1,0,0,0,Peptide methionine sulfoxide reductase msrA/msrB,NONE,Q9JWM8,NONE,NONE,NONE
1ord_B_cavity_3,8,4.113,0.5142,6,1,0,0,1,0,"Ornithine decarboxylase, inducible",NONE,P43099,Amino acid transport and metabolism,NONE,NONE
3fwz_B_cavity_1,7,3.596,0.5138,6,0,1,0,0,0,Inner membrane protein ybaL,NONE,P39830,NONE,NONE,NONE
2zcu_A_cavity_2,7,3.595,0.5135,5,0,1,1,0,0,Uncharacterized oxidoreductase ytfG,NONE,P39315,NONE,NONE,NONE
1xhs_A_cavity_1,9,4.611,0.5124,6,2,1,0,0,0,UPF0131 protein ytfP,NONE,P0AE50,NONE,NONE,NONE
1u4j_A_cavity_1,7,3.584,0.512,4,1,1,1,0,0,Phospholipase A2 isoform 2,NONE,Q6SLM1,Involved in phospholipase A2 activity,NONE,NONE
1zvs_A_cavity_1,12,6.142,0.5119,7,1,2,2,0,0,Beta-2-microglobulin,NONE,P61769,NONE,NONE,NONE
1o95_A_cavity_4,8,4.093,0.5117,3,2,1,2,0,0,Trimethylamine dehydrogenase,NONE,P16099,Involved in catalytic activity,NONE,NONE
1mvf_D_cavity_2,7,3.581,0.5116,5,0,2,0,0,0,PemI-like protein 1,NONE,P0AE73,NONE,NONE,NONE
1rcp_B_cavity_1,7,3.578,0.5112,6,1,0,0,0,0,Cytochrome c,NONE,P00147,NONE,NONE,NONE
1iyk_A_cavity_1,8,4.086,0.5108,7,1,0,0,0,0,Glycylpeptide N-tetradecanoyltransferase,NONE,P30418,Involved in glycylpeptide N-tetradecanoyltransferase activity,NONE,NONE
1nsl_B_cavity_1,7,3.575,0.5107,5,1,1,0,0,0,Putative ribosomal N-acetyltransferase ydaF,NONE,P96579,NONE,NONE,NONE
2v91_A_cavity_1,7,3.566,0.5095,4,0,2,1,0,0,Strictosidine synthase,NONE,P68175,NONE,NONE,NONE
2vwt_A_cavity_1,9,4.578,0.5086,6,2,0,0,1,0,2-keto-3-deoxy-L-rhamnonate aldolase,NONE,P76469,NONE,NONE,NONE
1aw1_E_cavity_1,7,3.559,0.5084,3,1,1,1,1,0,Triosephosphate isomerase,NONE,P50921,Carbohydrate transport and metabolism,NONE,NONE
1b0n_B_cavity_1,7,3.558,0.5083,6,1,0,0,0,0,HTH-type transcriptional regulator sinR,NONE,P06533,NONE,NONE,NONE
1kar_A_cavity_1,7,3.556,0.508,5,1,1,0,0,0,Histidinol dehydrogenase,NONE,P06988,Amino acid transport and metabolism,NONE,NONE
1f0x_A_cavity_3,7,3.555,0.5078,4,1,1,0,1,0,D-lactate dehydrogenase,OXIDOREDUCTASE,DLD_ECOLI,"First component of the membrane-bound D-lactate oxidase, which is believed to play an important role in the energization of the active transport of a variety of sugars and amino acids.",NONE,NONE
1xup_O_cavity_3,7,3.549,0.507,4,1,1,0,1,0,Glycerol kinase,NONE,O34153,NONE,NONE,NONE
3gan_A_cavity_1,7,3.548,0.5069,5,0,2,0,0,0,Uncharacterized protein At3g22680,NONE,Q9LUJ3,NONE,NONE,NONE
1eyr_A_cavity_1,7,3.548,0.5069,6,0,1,0,0,0,N-acylneuraminate cytidylyltransferase,NONE,P0A0Z8,Cell wall/membrane/envelope biogenesis,NONE,NONE
1yle_A_cavity_1,7,3.547,0.5068,6,0,1,0,0,0,Arginine N-succinyltransferase subunit alpha,NONE,P80357,Involved in binding,NONE,NONE
2an7_A_cavity_1,7,3.542,0.506,4,0,2,0,1,0,Protein parD,NONE,P22995,NONE,NONE,NONE
3cb4_F_cavity_4,8,4.047,0.5059,6,1,1,0,0,0,GTP-binding protein lepA,NONE,P60785,NONE,NONE,NONE
1j7x_A_cavity_3,7,3.538,0.5054,4,1,1,1,0,0,Retinol-binding protein 3,NONE,Q7SZI7,NONE,NONE,NONE
1bpw_A_cavity_1,8,4.042,0.5053,6,1,1,0,0,0,Betaine aldehyde dehydrogenase,NONE,P56533,Involved in oxidoreductase activity,NONE,NONE
1ud1_C_cavity_2,7,3.537,0.5053,6,1,0,0,0,0,Glycinin G1,NONE,P04776,NONE,NONE,NONE
2rfj_B_cavity_1,7,3.537,0.5052,6,0,1,0,0,0,Bromodomain testis-specific protein,NONE,Q58F21,NONE,NONE,NONE
2r3v_D_cavity_1,7,3.535,0.505,5,1,1,0,0,0,Mevalonate kinase,TRANSFERASE,KIME_HUMAN,May be a regulatory site in cholesterol biosynthetic pathway.,"Defects in MVK are the cause of mevalonic aciduria [MIM:610377]. It is an accumulation of mevalonic acid which causes a variety of symptoms such as psychomotor retardation, dysmorphic features, cataracts, hepatosplenomegaly, lymphadenopathy, anemia, hypotonia, myopathy, and ataxia.;Defects in MVK are the cause of hyperimmunoglobulinemia D and periodic fever syndrome (HIDS) [MIM:260920]. HIDS is an autosomal recessive disease characterized by recurrent episodes of unexplained high fever associated with skin rash, diarrhea, adenopathy (swollen, tender lymph nodes), athralgias and/or arthritis. Concentration of IgD, and often IgA, are above normal.",NONE
2acm_B_cavity_1,7,3.531,0.5044,6,1,0,0,0,0,Mucin-1,NONE,P15941,NONE,NONE,NONE
2c3c_A_cavity_1,7,3.528,0.504,4,1,1,1,0,0,"2-oxopropyl-CoM reductase, carboxylating",NONE,Q56839,Energy production and conversion,NONE,NONE
1x9f_I_cavity_1,9,4.531,0.5035,6,1,0,0,2,0,Extracellular globin-4,NONE,P13579,NONE,NONE,NONE
3b68_A_cavity_1,7,3.524,0.5034,5,0,1,0,1,0,Androgen receptor,TRANSCRIPTION,ANDR_HUMAN,Steroid hormone receptors are ligand-activated transcription factors that regulate eukaryotic gene expression and affect cellular proliferation and differentiation in target tissues. Transcription factor activity is modulated by bound coactivator and core,"Genetic variation in AR can be responsible of androgenetic alopecia (AGA) [MIM:109200].;Defects in AR are the cause of androgen insensibility syndrome (AIS) [MIM:300068]; previously known as testicular feminization syndrome (TFM). It can be complete (CAIS) when external genitalia are phenotypically female; or partial (PAIS) when external genitalia are substantively ambiguous or mild (MAIS) when external genitalia are normal male or nearly so.;Defects in AR are the cause of X-linked spinal and bulbar muscular atrophy (SBMA) [MIM:313200]; also known as Kennedy disease. In SBMA patients the number of Gln ranges from 40 to 52. Longer expansions result in earlier onset and more severe clinical manifestations of the disease.;Defects in AR may play a role in metastatic prostate cancer. The mutated receptor stimulates prostate growth and metastases development despite of androgen ablation. This treatment can reduce primary and metastatic lesions probably by inducing apoptosis of tumor cells when they express the wild-type receptor.;Defects in AR may be the cause of infertility male syndrome [MIM:308370]; also called androgen insensitivity. It is characterized by azoospermia, elevated testosterone and luteinizing hormone plasma levels and an abnormal androgen receptor.;Defects in AR are the cause of Reifenstein syndrome [MIM:312300]; also known as partial androgen insensitivity. The features of this form of male pseudohermaphroditism are hypospadias, hypogonadism, gynecomastia, normal XY karyotype, and a pedigree pattern consistent with X-linked recessive inheritance.",Hypoactive sexual desire disorder;Hepatitis B virus infection;Cardiac failure;Andrology;Hirsutism;Female sexual dysfunction;Psoriasis;Reperfusion injury;Plasmodium infection;Atherosclerosis;Prostate hyperplasia;Fatigue;Male sexual dysfunction;Autoimmune disease;Testosterone deficiency;Uterine fibroids;Metabolic disorder;Myalgia;Obesity;Gynecological disorder;Contraception;Cancer;Hypercholesterolemia;Skin burns;Seborrhea;Growth disorder;Bone tumor;Muscular dystrophy;Erectile dysfunction;Systemic lupus erythematosus;Asthma;Wound healing;Cerebrovascular ischemia;Acne;Hypogonadism;HIV infection;Neoplasm;Dermatological disease;Prostate disease;Multiple sclerosis;Lacrimal gland disease;Alopecia;Mycobacterium tuberculosis infection;Ovary cyst;Carcinoma;Cardiovascular disease;Cachexia;Muscle wasting disease;Cervical dystonia;Anemia;Endocrine disease;Non-insulin dependent diabetes;Breast tumor;Female contraception;Fungal infection;Cystic fibrosis;Prostate tumor;Estrogen deficiency;Endometriosis;Hormone deficiency;Turners syndrome;Keratosis;Premenstrual syndrome;Hepatitis C virus infection;Benign tumor;Osteoporosis;Male contraception
2bbu_A_cavity_2,11,5.536,0.5033,7,2,0,0,2,0,Suppressor of cytokine signaling 3,NONE,O35718,NONE,NONE,NONE
1aok_B_cavity_1,8,4.021,0.5026,5,1,1,1,0,0,Phospholipase A2 inhibitor,NONE,P04084,NONE,NONE,NONE
2hzv_C_cavity_1,7,3.518,0.5026,5,2,0,0,0,0,Nickel-responsive regulator,NONE,P0A6Z6,NONE,NONE,NONE
3bpt_A_cavity_3,13,6.529,0.5022,6,2,2,3,0,0,"3-hydroxyisobutyryl-CoA hydrolase, mitochondrial",NONE,Q6NVY1,NONE,NONE,NONE
2zs0_D_cavity_1,8,4.016,0.502,6,1,0,0,1,0,Extracellular giant hemoglobin major globin subunit A1,NONE,Q7M419,NONE,NONE,NONE
1d06_A_cavity_2,7,3.513,0.5019,6,0,0,0,1,0,Sensor protein fixL,NONE,P10955,Involved in ATP binding,NONE,NONE
1y4j_A_cavity_1,8,4.014,0.5017,4,2,1,1,0,0,Sulfatase-modifying factor 2,NONE,Q8NBJ7,Seems to lack formyl-glycine generating activity and to be unable to convert newly synthesized inactive sulfatases to their active form by modifying an active site cysteine residue to 3-oxoalanine. Overexpression of SUMF2 inhibits the activation of sulfatases by SUMF1,NONE,NONE
1eu1_A_cavity_7,9,4.511,0.5012,5,1,1,1,1,0,Dimethyl sulfoxide reductase,NONE,Q57366,Energy production and conversion,NONE,NONE
1skq_B_cavity_1,8,4.009,0.5012,6,1,1,0,0,0,Elongation factor 1-alpha,NONE,P35021,Involved in GTPase activity,NONE,NONE
2qq5_A_cavity_1,7,3.508,0.5012,4,1,1,0,1,0,Dehydrogenase/reductase SDR family member 1,NONE,Q96LJ7,NONE,NONE,NONE
2f8x_C_cavity_3,7,3.507,0.501,4,1,1,0,1,0,Neurogenic locus notch homolog protein 1,TRANSCRIPTION/DNA,NOTC1_HUMAN,"Functions as a receptor for membrane-bound ligands Jagged1, Jagged2 and Delta1 to regulate cell-fate determination. Upon ligand activation through the released notch intracellular domain (NICD) it forms a transcriptional activator complex with RBP-J kappa","NOTCH1 truncation is associated with T-cell acute lymphoblastic leukemia.;Defects in NOTCH1 are a cause of aortic valve disease [MIM:109730]. The disorder consists of an early developmental defect in the aortic valve and a later de-repression of calcium deposition that causes progressive aortic valve disease. Calcification of the aortic valve is the third leading cause of heart disease in adults. The incidence increases with age, and it is often associated with a bicuspid aortic valve present in 1-2% of the population.",NONE
2ju0_A_cavity_2,7,3.507,0.501,6,0,1,0,0,0,Calcium-binding protein NCS-1,NONE,Q06389,NONE,NONE,NONE
2c0o_A_cavity_2,16,8.007,0.5004,6,2,3,5,0,0,Tyrosine-protein kinase HCK,TRANSFERASE,HCK_HUMAN,May serve as part of a signaling pathway coupling the Fc receptor to the activation of the respiratory burst. May also contribute to neutrophil migration and may regulate the degranulation process of neutrophils.,NONE,NONE
1hpl_A_cavity_1,9,4.5,0.5,4,0,3,2,0,0,Pancreatic triacylglycerol lipase,NONE,P29183,NONE,NONE,NONE
2r5k_C_cavity_1,8,4,0.5,4,0,1,0,3,0,Major capsid protein L1,NONE,P04012,NONE,NONE,NONE
1osa_A_cavity_1,8,3.999,0.4999,7,0,1,0,0,0,Calmodulin,NONE,P07463,Involved in calcium ion binding,NONE,NONE
2fvl_B_cavity_1,7,3.499,0.4998,4,2,0,0,1,0,Aldo-keto reductase family 1 member C4,NONE,P17516,NONE,NONE,NONE
2gta_C_cavity_1,8,3.998,0.4997,7,1,0,0,0,0,Uncharacterized protein ypjD,NONE,P42979,NONE,NONE,NONE
3brw_A_cavity_1,8,3.998,0.4997,5,0,2,1,0,0,Rap1 GTPase-activating protein 1,NONE,P47736,Involved in GTPase activator activity,NONE,NONE
1yw6_B_cavity_1,11,5.495,0.4995,5,2,2,1,1,0,Succinylglutamate desuccinylase,NONE,P76215,NONE,NONE,NONE
2ge9_A_cavity_2,7,3.495,0.4993,6,1,0,0,0,0,Tyrosine-protein kinase BTK,TRANSFERASE,BTK_HUMAN,Plays a crucial role in B-cell ontogeny. Transiently phosphorylates GTF2I on tyrosine residues in response to B-cell receptor cross-linking. Required for the formation of functional ARID3A DNA-binding complexes.,"Defects in BTK are the cause of X-linked agammaglobulinemia type 1 (XLA) [MIM:300300]. XLA is a humoral immunodeficiency disease which results in developmental defects in the maturation pathway of B-cells. Affected boys have normal levels of pre-B-cells in their bone marrow but virtually no circulating mature B-lymphocytes. This results in a lack of immunoglobulins of all classes and leads to recurrent bacterial infections like otitis, conjunctivitis, dermatitis, sinusitis in the first few years of life, or even some patients present overwhelming sepsis or meningitis, resulting in death in a few hours. Treatment in most cases is by infusion of intravenous immunoglobulin.;Defects in BTK may be the cause of X-linked hypogammaglobulinemia and isolated growth hormone deficiency (XLA- IGHD) [MIM:307200]; also known as agammaglobulinemia and isolated growth hormone deficiency or Fleisher syndrome or isolated growth hormone deficiency type 3 (IGHD3). In rare cases XLA is inherited together with isolated growth hormone deficiency (IGHD).",Autoimmune disease;Lymphoma
2qxx_A_cavity_1,8,3.993,0.4992,6,2,0,0,0,0,Deoxycytidine triphosphate deaminase,NONE,O07247,NONE,NONE,NONE
3ecp_A_cavity_3,7,3.487,0.4981,6,0,1,0,0,0,Transposase for transposon Tn5,NONE,Q46731,NONE,NONE,NONE
1zrt_C_cavity_4,7,3.483,0.4975,6,1,0,0,0,0,Ubiquinol-cytochrome c reductase iron-sulfur subunit,NONE,P08500,NONE,NONE,NONE
1zde_A_cavity_1,7,3.481,0.4973,5,1,1,0,0,0,DNA polymerase III subunit alpha,NONE,P74750,NONE,NONE,NONE
3din_C_cavity_7,8,3.977,0.4972,5,1,1,0,1,0,Protein translocase subunit secA,NONE,Q9X1R4,NONE,NONE,NONE
2ayl_B_cavity_6,8,3.977,0.4971,5,1,0,0,2,0,Prostaglandin G/H synthase 1,NONE,P05979,Involved in peroxidase activity,NONE,NONE
1w9y_A_cavity_3,8,3.974,0.4968,5,1,1,0,1,0,1-aminocyclopropane-1-carboxylate oxidase 1,NONE,Q08506,NONE,NONE,NONE
1jf0_A_cavity_1,7,3.476,0.4966,5,0,2,0,0,0,Obelin,NONE,Q8T6Z0,Involved in calcium ion binding,NONE,NONE
2e19_A_cavity_1,8,3.972,0.4965,6,1,1,0,0,0,Zinc finger E-box-binding homeobox 1,NONE,P37275,NONE,NONE,NONE
2qre_A_cavity_1,8,3.971,0.4964,5,1,1,1,0,0,SNF1-like protein kinase ssp2,NONE,O74536,NONE,NONE,NONE
1a8p_A_cavity_1,7,3.475,0.4964,6,1,0,0,0,0,Ferredoxin--NADP reductase,NONE,Q44532,Involved in oxidoreductase activity,NONE,NONE
2vof_C_cavity_1,7,3.475,0.4964,6,0,1,0,0,0,Bcl-2-related protein A1,NONE,Q07440,NONE,NONE,NONE
1t77_D_cavity_2,9,4.467,0.4963,8,0,1,0,0,0,Lipopolysaccharide-responsive and beige-like anchor protein,NONE,P50851,NONE,NONE,NONE
1xk0_A_cavity_1,7,3.474,0.4963,5,0,1,0,1,0,Heme oxygenase 1,OXIDOREDUCTASE,HMOX1_HUMAN,"Heme oxygenase cleaves the heme ring at the alpha methene bridge to form biliverdin. Biliverdin is subsequently converted to bilirubin by biliverdin reductase. Under physiological conditions, the activity of heme oxygenase is highest in the spleen, where",NONE,Sepsis;Cancer
1dmx_B_cavity_1,7,3.473,0.4962,3,0,2,1,1,0,"Carbonic anhydrase 5A, mitochondrial",NONE,P23589,Inorganic ion transport and metabolism,NONE,NONE
1a4m_C_cavity_2,11,5.457,0.4961,4,2,1,2,2,0,Adenosine deaminase,NONE,P03958,Nucleotide transport and metabolism,NONE,NONE
1yg8_R_cavity_1,8,3.966,0.4958,6,0,2,0,0,0,ATP-dependent Clp protease proteolytic subunit,NONE,P0A6G9,NONE,NONE,NONE
2dy3_C_cavity_1,9,4.454,0.4949,5,1,1,0,2,0,Alanine racemase,NONE,Q8RSU9,NONE,NONE,NONE
2ify_A_cavity_1,8,3.956,0.4945,6,1,1,0,0,0,"2,3-bisphosphoglycerate-independent phosphoglycerate mutase",NONE,Q81X77,NONE,NONE,NONE
1v9x_A_cavity_1,13,6.424,0.4942,5,1,3,0,4,0,Poly [ADP-ribose] polymerase 1,NONE,Q9ZP54,NONE,NONE,NONE
1jba_A_cavity_3,8,3.951,0.4939,5,1,2,0,0,0,Guanylyl cyclase-activating protein 2,NONE,P51177,NONE,NONE,NONE
