From,Entry,Reviewed,Entry Name,Protein names,Gene Names,Organism,Length
Q8NBJ7,Q8NBJ7,reviewed,SUMF2_HUMAN,Inactive C-alpha-formylglycine-generating enzyme 2 (Paralog of formylglycine-generating enzyme) (pFGE) (Sulfatase-modifying factor 2),SUMF2 PSEC0171 UNQ1968/PRO4500,Homo sapiens (Human),301
Q57366,Q57366,reviewed,DSTOR_CERSP,Dimethyl sulfoxide/trimethylamine N-oxide reductase (DMSO reductase) (DMSOR) (Me2SO reductase) (TMAOR) (EC 1.7.2.3) (EC 1.8.5.3),dmsA dsrA,Cereibacter sphaeroides (Rhodobacter sphaeroides),822
P35021,P35021,reviewed,EF1A_SACS2,Elongation factor 1-alpha (EF-1-alpha) (Elongation factor Tu) (EF-Tu),tuf tef1 SSO0216,Saccharolobus solfataricus (strain ATCC 35092 / DSM 1617 / JCM 11322 / P2) (Sulfolobus solfataricus),435
Q96LJ7,Q96LJ7,reviewed,DHRS1_HUMAN,Dehydrogenase/reductase SDR family member 1 (EC 1.1.1.-) (Short chain dehydrogenase/reductase family 19C member 1) (Protein SDR19C1),DHRS1 SDR19C1,Homo sapiens (Human),313
NOTC1_HUMAN,P46531,reviewed,NOTC1_HUMAN,Neurogenic locus notch homolog protein 1 (Notch 1) (hN1) (Translocation-associated notch protein TAN-1) [Cleaved into: Notch 1 extracellular truncation (NEXT); Notch 1 intracellular domain (NICD)],NOTCH1 TAN1,Homo sapiens (Human),2555
Q06389,Q06389,reviewed,NCS1_YEAST,Calcium-binding protein NCS-1,FRQ1 NCS1 YDR373W D9481.6,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),190
HCK_HUMAN,P08631,reviewed,HCK_HUMAN,Tyrosine-protein kinase HCK (EC 2.7.10.2) (Hematopoietic cell kinase) (Hemopoietic cell kinase) (p59-HCK/p60-HCK) (p59Hck) (p61Hck),HCK,Homo sapiens (Human),526
P29183,P29183,reviewed,LIPP_HORSE,Pancreatic triacylglycerol lipase (PL) (PTL) (Pancreatic lipase) (EC 3.1.1.3),PNLIP,Equus caballus (Horse),461
P04012,P04012,reviewed,VL1_HPV11,Major capsid protein L1,L1,Human papillomavirus 11,501
P07463,P07463,reviewed,CALM_PARTE,Calmodulin (CaM),CAM GSPATT00015825001,Paramecium tetraurelia,149
P17516,P17516,reviewed,AK1C4_HUMAN,Aldo-keto reductase family 1 member C4 (EC 1.1.1.-) (EC 1.1.1.209) (EC 1.1.1.210) (EC 1.1.1.51) (EC 1.1.1.53) (EC 1.1.1.62) (3-alpha-hydroxysteroid dehydrogenase type I) (3-alpha-HSD1) (EC 1.1.1.357) (3alpha-hydroxysteroid 3-dehydrogenase) (Chlordecone reductase) (CDR) (EC 1.1.1.225) (Dihydrodiol dehydrogenase 4) (DD-4) (DD4) (HAKRA),AKR1C4 CHDR,Homo sapiens (Human),323
P42979,P42979,reviewed,YPJD_BACSU,Uncharacterized protein YpjD,ypjD jojD BSU22500,Bacillus subtilis (strain 168),111
P47736,P47736,reviewed,RPGP1_HUMAN,Rap1 GTPase-activating protein 1 (Rap1GAP) (Rap1GAP1),RAP1GAP KIAA0474 RAP1GA1,Homo sapiens (Human),663
P76215,P76215,reviewed,ASTE_ECOLI,Succinylglutamate desuccinylase (EC 3.5.1.96),astE ydjS b1744 JW1733,Escherichia coli (strain K12),322
BTK_HUMAN,Q06187,reviewed,BTK_HUMAN,Tyrosine-protein kinase BTK (EC 2.7.10.2) (Agammaglobulinemia tyrosine kinase) (ATK) (B-cell progenitor kinase) (BPK) (Bruton tyrosine kinase),BTK AGMX1 ATK BPK,Homo sapiens (Human),659
O07247,P9WP16,reviewed,DCDB_MYCTO,"dCTP deaminase, dUMP-forming (EC 3.5.4.30) (Bifunctional dCTP deaminase:dUTPase) (DCD-DUT)",dcd MT0336,Mycobacterium tuberculosis (strain CDC 1551 / Oshkosh),190
O07247,P9WP17,reviewed,DCDB_MYCTU,"dCTP deaminase, dUMP-forming (EC 3.5.4.30) (Bifunctional dCTP deaminase:dUTPase) (DCD-DUT)",dcd Rv0321 MTCY63.26,Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv),190
Q46731,Q46731,reviewed,TN5P_ECOLX,Transposase for transposon Tn5 (EC 3.1.-.-) (Tnp),tnpA tnp,Escherichia coli,476
P08500,P0CY48,reviewed,UCRI_RHOCA,Ubiquinol-cytochrome c reductase iron-sulfur subunit (EC 7.1.1.8) (Rieske iron-sulfur protein) (RISP),petA fbcF,Rhodobacter capsulatus (Rhodopseudomonas capsulata),191
P08500,D5ANZ2,reviewed,UCRI_RHOCB,Ubiquinol-cytochrome c reductase iron-sulfur subunit (EC 7.1.1.8) (Rieske iron-sulfur protein) (RISP),petA fbcF RCAP_rcc02768,Rhodobacter capsulatus (strain ATCC BAA-309 / NBRC 16581 / SB1003),191
P74750,P74750,reviewed,DPO3A_SYNY3,DNA polymerase III subunit alpha (EC 2.7.7.7) [Cleaved into: Ssp dnaE intein],dnaE-N slr0603; dnaE-C sll1572,Synechocystis sp. (strain ATCC 27184 / PCC 6803 / Kazusa),1355
Q9X1R4,Q9X1R4,reviewed,SECA_THEMA,Protein translocase subunit SecA (EC 7.4.2.8),secA TM_1578,Thermotoga maritima (strain ATCC 43589 / DSM 3109 / JCM 10099 / NBRC 100826 / MSB8),871
P05979,P05979,reviewed,PGH1_SHEEP,Prostaglandin G/H synthase 1 (EC 1.14.99.1) (Cyclooxygenase-1) (COX-1) (Prostaglandin H2 synthase 1) (PGH synthase 1) (PGHS-1) (PHS 1) (Prostaglandin-endoperoxide synthase 1),PTGS1 COX1,Ovis aries (Sheep),600
Q08506,Q08506,reviewed,ACCO1_PETHY,1-aminocyclopropane-1-carboxylate oxidase 1 (ACC oxidase 1) (ACCO) (EC 1.14.17.4) (Ethylene-forming enzyme) (EFE),ACO1,Petunia hybrida (Petunia),319
Q8T6Z0,Q8T6Z0,reviewed,OBL_OBEGE,Obelin (OBL),,Obelia geniculata (Knotted thread hydroid),195
P37275,P37275,reviewed,ZEB1_HUMAN,Zinc finger E-box-binding homeobox 1 (NIL-2-A zinc finger protein) (Negative regulator of IL2) (Transcription factor 8) (TCF-8),ZEB1 AREB6 TCF8,Homo sapiens (Human),1124
O74536,O74536,reviewed,SNF1_SCHPO,SNF1-like protein kinase ssp2 (EC 2.7.11.1),ssp2 SPCC74.03c,Schizosaccharomyces pombe (strain 972 / ATCC 24843) (Fission yeast),576
Q44532,Q44532,reviewed,FENR_AZOVI,Ferredoxin--NADP reductase (FNR) (EC 1.18.1.2) (NADPH:ferredoxin reductase) (Protein X),fpr,Azotobacter vinelandii,258
Q07440,Q07440,reviewed,B2LA1_MOUSE,Bcl-2-related protein A1 (A1-A) (Hemopoietic-specific early response protein) (Protein BFL-1),Bcl2a1 A1 Bcl2a1a Bfl1,Mus musculus (Mouse),172
P50851,P50851,reviewed,LRBA_HUMAN,Lipopolysaccharide-responsive and beige-like anchor protein (Beige-like protein) (CDC4-like protein),LRBA BGL CDC4L LBA,Homo sapiens (Human),2863
HMOX1_HUMAN,P09601,reviewed,HMOX1_HUMAN,Heme oxygenase 1 (HO-1) (EC 1.14.14.18) [Cleaved into: Heme oxygenase 1 soluble form],HMOX1 HO HO1,Homo sapiens (Human),288
P23589,P23589,reviewed,CAH5A_MOUSE,"Carbonic anhydrase 5A, mitochondrial (EC 4.2.1.1) (Carbonate dehydratase VA) (CA Y) (Carbonic anhydrase VA) (CA-VA)",Ca5a Ca5 Car5 Car5a,Mus musculus (Mouse),299
P03958,P03958,reviewed,ADA_MOUSE,Adenosine deaminase (EC 3.5.4.4) (Adenosine aminohydrolase),Ada,Mus musculus (Mouse),352
P0A6G9,P0A6G9,reviewed,CLPP_ECO57,ATP-dependent Clp protease proteolytic subunit (EC 3.4.21.92) (Endopeptidase Clp),clpP lopP Z0542 ECs0491,Escherichia coli O157:H7,207
Q8RSU9,Q8RSU9,reviewed,ALR_CORGL,Alanine racemase (EC 5.1.1.1),alr Cgl0588 cg0681,Corynebacterium glutamicum (strain ATCC 13032 / DSM 20300 / JCM 1318 / BCRC 11384 / CCUG 27702 / LMG 3730 / NBRC 12168 / NCIMB 10025 / NRRL B-2784 / 534),361
Q81X77,Q81X77,reviewed,GPMI_BACAN,"2,3-bisphosphoglycerate-independent phosphoglycerate mutase (BPG-independent PGAM) (Phosphoglyceromutase) (iPGM) (EC 5.4.2.12)",gpmI gpmA BA_5365 GBAA_5365 BAS4986,Bacillus anthracis,509
Q9ZP54,Q9ZP54,reviewed,PARP1_ARATH,Poly [ADP-ribose] polymerase 1 (PARP-1) (EC 2.4.2.30) (NAD(+) ADP-ribosyltransferase 1) (ADPRT-1) (Poly[ADP-ribose] synthase 1) (Protein ADP-ribosyltransferase PARP1) (EC 2.4.2.-),PARP1 At2g31320 F16D14.16,Arabidopsis thaliana (Mouse-ear cress),983
P51177,P51177,reviewed,GUC1B_BOVIN,Guanylyl cyclase-activating protein 2 (GCAP 2) (Guanylate cyclase activator 1B) (Retinal guanylyl cyclase activator protein p24),GUCA1B GCAP-2 GCAP2,Bos taurus (Bovine),204
Q6L8F0,Q5SKN9,reviewed,LCFCS_THET8,Long-chain-fatty-acid--CoA ligase (EC 6.2.1.3) (Long-chain fatty acyl-CoA synthetase) (LC-FACS),TTHA0604,Thermus thermophilus (strain ATCC 27634 / DSM 579 / HB8),541
P56221,P56221,reviewed,SCYD_PYRO7,Scytalone dehydratase (SD) (SDH) (EC 4.2.1.94),SDH1 MGG_05059,Pyricularia oryzae (strain 70-15 / ATCC MYA-4617 / FGSC 8958) (Rice blast fungus) (Magnaporthe oryzae),172
Q08278,Q08278,reviewed,MED7_YEAST,Mediator of RNA polymerase II transcription subunit 7 (Mediator complex subunit 7),MED7 YOL135C,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),222
Q9VYX7,Q9VYX7,reviewed,PGPSA_DROME,Peptidoglycan-recognition protein SA (EC 3.4.17.13) (Protein semmelweis),PGRP-SA seml CG11709,Drosophila melanogaster (Fruit fly),203
AOFA_HUMAN,P21397,reviewed,AOFA_HUMAN,Amine oxidase [flavin-containing] A (EC 1.4.3.21) (EC 1.4.3.4) (Monoamine oxidase type A) (MAO-A),MAOA,Homo sapiens (Human),527
KCC2A_HUMAN,Q9UQM7,reviewed,KCC2A_HUMAN,Calcium/calmodulin-dependent protein kinase type II subunit alpha (CaM kinase II subunit alpha) (CaMK-II subunit alpha) (EC 2.7.11.17),CAMK2A CAMKA KIAA0968,Homo sapiens (Human),478
P24296,P24296,reviewed,NLTP1_WHEAT,Non-specific lipid-transfer protein (LTP) (Phospholipid transfer protein) (PLTP) (ns-LTP1),,Triticum aestivum (Wheat),113
P20340,P20340,reviewed,RAB6A_HUMAN,Ras-related protein Rab-6A (Rab-6),RAB6A RAB6,Homo sapiens (Human),208
MUTYH_HUMAN,Q9UIF7,reviewed,MUTYH_HUMAN,Adenine DNA glycosylase (EC 3.2.2.31) (MutY homolog) (hMYH),MUTYH MYH,Homo sapiens (Human),546
Q9RT21,Q9RT21,reviewed,TIG_DEIRA,Trigger factor (TF) (EC 5.2.1.8) (PPIase),tig DR_1948,Deinococcus radiodurans (strain ATCC 13939 / DSM 20539 / JCM 16871 / CCUG 27074 / LMG 4051 / NBRC 15346 / NCIMB 9279 / VKM B-1422 / R1),465
Q6GFF9,Q6GFF9,reviewed,DAGK_STAAR,Diacylglycerol kinase (DAG kinase) (DAGK) (EC 2.7.1.107),dagK dgkB SAR1989,Staphylococcus aureus (strain MRSA252),315
P00803,P00803,reviewed,LEP_ECOLI,Signal peptidase I (SPase I) (EC 3.4.21.89) (Leader peptidase I),lepB b2568 JW2552,Escherichia coli (strain K12),324
P08921,P08921,reviewed,CD2_RAT,T-cell surface antigen CD2 (LFA-2) (LFA-3 receptor) (OX-34 antigen) (T-cell surface antigen T11/Leu-5) (CD antigen CD2),Cd2,Rattus norvegicus (Rat),344
O32080,O32080,reviewed,KTRA_BACSU,Ktr system potassium uptake protein A (K(+)-uptake protein KtrA),ktrA yuaA BSU31090,Bacillus subtilis (strain 168),222
O07216,P9WFG6,reviewed,NB2_MYCTO,Peroxynitrite isomerase 2 (EC 5.99.-.-) (Ferric nitrobindin) (Nb(III)),MT2790,Mycobacterium tuberculosis (strain CDC 1551 / Oshkosh),164
O07216,P9WFG7,reviewed,NB1_MYCTU,Peroxynitrite isomerase 1 (EC 5.99.-.-) (Ferric Mycobacterium tuberculosis nitrobindin) (Mt-Nb(III)),Rv2717c,Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv),164
Q42831,Q42831,reviewed,HBL_HORVU,Anaerobic nitrite reductase GLB1 (EC 1.7.2.-) (HORvu GLB1) (Non-legume hemoglobin) (Non-symbiotic hemoglobin),HB GLB1,Hordeum vulgare (Barley),162
P43358,P43358,reviewed,MAGA4_HUMAN,Melanoma-associated antigen 4 (Cancer/testis antigen 1.4) (CT1.4) (MAGE-4 antigen) (MAGE-41 antigen) (MAGE-X2 antigen),MAGEA4 MAGE4,Homo sapiens (Human),317
P93324,P93324,reviewed,CHOMT_MEDSA,Isoliquiritigenin 2'-O-methyltransferase (MsCHMT) (EC 2.1.1.154) (Chalcone O-methyltransferase) (ChOMT) (Licodione 2'-O-methyltransferase) (MsLMT) (EC 2.1.1.65),,Medicago sativa (Alfalfa),372
Q79ZY6,Q79ZY6,,Q79ZY6_STAAW,deleted,,,
P00334,P00334,reviewed,ADH_DROME,Alcohol dehydrogenase (EC 1.1.1.1),Adh CG3481,Drosophila melanogaster (Fruit fly),256
P0AGB6,P0AGB6,reviewed,RPOE_ECOLI,ECF RNA polymerase sigma-E factor (RNA polymerase sigma-E factor) (Sigma-24),rpoE sigE b2573 JW2557,Escherichia coli (strain K12),191
Q51669,Q51669,reviewed,GFA_PARDE,Glutathione-dependent formaldehyde-activating enzyme (EC 4.4.1.22) (S-(hydroxymethyl)glutathione synthase),gfa,Paracoccus denitrificans,194
P52045,P52045,reviewed,SCPB_ECOLI,Methylmalonyl-CoA decarboxylase (MMCD) (EC 4.1.1.-) (Transcarboxylase),scpB mmcD ygfG b2919 JW2886,Escherichia coli (strain K12),261
FABPI_HUMAN,P12104,reviewed,FABPI_HUMAN,"Fatty acid-binding protein, intestinal (Fatty acid-binding protein 2) (Intestinal-type fatty acid-binding protein) (I-FABP)",FABP2 FABPI,Homo sapiens (Human),132
P0AFQ7,P0AFQ7,reviewed,YCFH_ECOLI,Uncharacterized metal-dependent hydrolase YcfH (EC 3.1.-.-),ycfH b1100 JW1086,Escherichia coli (strain K12),265
P01910,P01910,reviewed,HA2K_MOUSE,"H-2 class II histocompatibility antigen, A-K alpha chain",H2-Aa,Mus musculus (Mouse),256
P05100,P05100,reviewed,3MG1_ECOLI,"DNA-3-methyladenine glycosylase 1 (EC 3.2.2.20) (3-methyladenine-DNA glycosylase I, constitutive) (TAG I) (DNA-3-methyladenine glycosidase I) (DNA-3-methyladenine glycosylase I)",tag b3549 JW3518,Escherichia coli (strain K12),187
P47039,P47039,reviewed,BNA3_YEAST,Probable kynurenine--oxoglutarate transaminase BNA3 (EC 2.6.1.7) (Biosynthesis of nicotinic acid protein 3) (Kynurenine aminotransferase),BNA3 YJL060W J1138,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),444
O28478,O28478,reviewed,Y1796_ARCFU,Uncharacterized protein AF_1796,AF_1796,Archaeoglobus fulgidus (strain ATCC 49558 / DSM 4304 / JCM 9628 / NBRC 100126 / VC-16),183
O00268,O00268,reviewed,TAF4_HUMAN,Transcription initiation factor TFIID subunit 4 (RNA polymerase II TBP-associated factor subunit C) (TBP-associated factor 4) (Transcription initiation factor TFIID 130 kDa subunit) (TAF(II)130) (TAFII-130) (TAFII130) (Transcription initiation factor TFIID 135 kDa subunit) (TAF(II)135) (TAFII-135) (TAFII135),TAF4 TAF2C TAF2C1 TAF4A TAFII130 TAFII135,Homo sapiens (Human),1085
P40969,P40969,reviewed,CBF3B_YEAST,Centromere DNA-binding protein complex CBF3 subunit B (Centromere protein 3),CEP3 CBF3 CBF3B CSL1 YMR168C YM8520.17C,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),608
P96692,P96692,reviewed,MHQN_BACSU,Putative NAD(P)H nitroreductase MhqN (EC 1.-.-.-),mhqN ydfN BSU05480,Bacillus subtilis (strain 168),206
P39462,P39462,reviewed,ADH_SACS2,NAD-dependent alcohol dehydrogenase (EC 1.1.1.1),adh SSO2536,Saccharolobus solfataricus (strain ATCC 35092 / DSM 1617 / JCM 11322 / P2) (Sulfolobus solfataricus),347
O14777,O14777,reviewed,NDC80_HUMAN,Kinetochore protein NDC80 homolog (Highly expressed in cancer protein) (Kinetochore protein Hec1) (HsHec1) (Kinetochore-associated protein 2) (Retinoblastoma-associated protein HEC),NDC80 HEC HEC1 KNTC2,Homo sapiens (Human),642
P51659,P51659,reviewed,DHB4_HUMAN,"Peroxisomal multifunctional enzyme type 2 (MFE-2) (17-beta-hydroxysteroid dehydrogenase 4) (17-beta-HSD 4) (D-bifunctional protein) (DBP) (Multifunctional protein 2) (MFP-2) (Short chain dehydrogenase/reductase family 8C member 1) [Cleaved into: (3R)-hydroxyacyl-CoA dehydrogenase (EC 1.1.1.n12); Enoyl-CoA hydratase 2 (EC 4.2.1.107) (EC 4.2.1.119) (3-alpha,7-alpha,12-alpha-trihydroxy-5-beta-cholest-24-enoyl-CoA hydratase)]",HSD17B4 EDH17B4 SDR8C1,Homo sapiens (Human),736
Q03023,Q03023,reviewed,APRA_PSEAE,Serralysin (EC 3.4.24.40) (Alkaline metalloproteinase) (AP),aprA PA1249,Pseudomonas aeruginosa (strain ATCC 15692 / DSM 22644 / CIP 104116 / JCM 14847 / LMG 12228 / 1C / PRS 101 / PAO1),479
P29083,P29083,reviewed,T2EA_HUMAN,General transcription factor IIE subunit 1 (General transcription factor IIE 56 kDa subunit) (Transcription initiation factor IIE subunit alpha) (TFIIE-alpha),GTF2E1 TF2E1,Homo sapiens (Human),439
P02240,P02240,reviewed,LGB2_LUPLU,Leghemoglobin-2 (LlLb2) (Leghemoglobin II),Lb2,Lupinus luteus (European yellow lupine),154
P24941,P24941,reviewed,CDK2_HUMAN,Cyclin-dependent kinase 2 (EC 2.7.11.22) (Cell division protein kinase 2) (p33 protein kinase),CDK2 CDKN2,Homo sapiens (Human),298
P07173,P07173,reviewed,CYCR_BLAVI,Photosynthetic reaction center cytochrome c subunit (Cytochrome c558/c559),pufC cytC BVIRIDIS_00500,Blastochloris viridis (Rhodopseudomonas viridis),356
O34533,O34533,reviewed,YTCD_BACSU,Uncharacterized HTH-type transcriptional regulator YtcD,ytcD BSU29030,Bacillus subtilis (strain 168),126
P0A4V2,P9WQP2,reviewed,A85A_MYCTO,Diacylglycerol acyltransferase/mycolyltransferase Ag85A (DGAT) (EC 2.3.1.122) (EC 2.3.1.20) (Acyl-CoA:diacylglycerol acyltransferase) (Antigen 85 complex A) (85A) (Ag85A) (Fibronectin-binding protein A) (Fbps A),fbpA mpt44 MT3911,Mycobacterium tuberculosis (strain CDC 1551 / Oshkosh),338
P0A4V2,P9WQP3,reviewed,A85A_MYCTU,Diacylglycerol acyltransferase/mycolyltransferase Ag85A (DGAT) (EC 2.3.1.122) (EC 2.3.1.20) (Acyl-CoA:diacylglycerol acyltransferase) (Antigen 85 complex A) (85A) (Ag85A) (Fibronectin-binding protein A) (Fbps A),fbpA mpt44 Rv3804c MTV026.09c,Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv),338
Q13148,Q13148,reviewed,TADBP_HUMAN,TAR DNA-binding protein 43 (TDP-43),TARDBP TDP43,Homo sapiens (Human),414
HBB_HUMAN,P68871,reviewed,HBB_HUMAN,Hemoglobin subunit beta (Beta-globin) (Hemoglobin beta chain) [Cleaved into: LVV-hemorphin-7; Spinorphin],HBB,Homo sapiens (Human),147
P0AA04,P0AA04,reviewed,PTHP_ECOLI,Phosphocarrier protein HPr (Histidine-containing protein),ptsH hpr b2415 JW2408,Escherichia coli (strain K12),85
Q980R2,Q980R2,reviewed,RPO1N_SACS2,DNA-directed RNA polymerase subunit Rpo1N (EC 2.7.7.6) (DNA-directed RNA polymerase subunit A'),rpo1N rpoA1 SSO0225,Saccharolobus solfataricus (strain ATCC 35092 / DSM 1617 / JCM 11322 / P2) (Sulfolobus solfataricus),880
Q986N2,Q986N2,reviewed,RISB2_RHILO,"6,7-dimethyl-8-ribityllumazine synthase 2 (DMRL synthase 2) (LS 2) (Lumazine synthase 2) (EC 2.5.1.78) (Type II lumazine synthase)",ribH2 mll7281,Mesorhizobium japonicum (strain LMG 29417 / CECT 9101 / MAFF 303099) (Mesorhizobium loti (strain MAFF 303099)),157
RO52_HUMAN,P19474,reviewed,RO52_HUMAN,E3 ubiquitin-protein ligase TRIM21 (EC 2.3.2.27) (52 kDa Ro protein) (52 kDa ribonucleoprotein autoantigen Ro/SS-A) (RING finger protein 81) (Ro(SS-A)) (Sjoegren syndrome type A antigen) (SS-A) (Tripartite motif-containing protein 21),TRIM21 RNF81 RO52 SSA1,Homo sapiens (Human),475
P0A436,P0A436,reviewed,PTKB_ECO57,PTS system galactitol-specific EIIB component (EIIB-Gat) (Galactitol-specific phosphotransferase enzyme IIB component) (EC 2.7.1.200),gatB Z3256 ECs2896,Escherichia coli O157:H7,94
P02019,P02019,reviewed,HBA1_ONCMY,Hemoglobin subunit alpha-1 (Alpha-1-globin) (Hemoglobin alpha-1 chain),hba1,Oncorhynchus mykiss (Rainbow trout) (Salmo gairdneri),144
P43246,P43246,reviewed,MSH2_HUMAN,DNA mismatch repair protein Msh2 (hMSH2) (MutS protein homolog 2),MSH2,Homo sapiens (Human),934
P23577,P23577,reviewed,CYF_CHLRE,Cytochrome f,petA,Chlamydomonas reinhardtii (Chlamydomonas smithii),317
Q5L3F4,Q5L3F4,reviewed,MOAC_GEOKA,Cyclic pyranopterin monophosphate synthase (EC 4.6.1.17) (Molybdenum cofactor biosynthesis protein C),moaC GK0241,Geobacillus kaustophilus (strain HTA426),162
Q15059,Q15059,reviewed,BRD3_HUMAN,Bromodomain-containing protein 3 (RING3-like protein),BRD3 KIAA0043 RING3L,Homo sapiens (Human),726
Q8LAS7,Q8LAS7,reviewed,CNBL2_ARATH,Calcineurin B-like protein 2 (SOS3-like calcium-binding protein 1),CBL2 SCABP1 At5g55990 MDA7.3,Arabidopsis thaliana (Mouse-ear cress),226
P19524,P19524,reviewed,MYO2_YEAST,Myosin-2 (Cell division control protein 66) (Class V unconventional myosin MYO2) (Type V myosin heavy chain MYO2) (Myosin V MYO2),MYO2 CDC66 YOR326W O6167,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),1574
Q50EL0,Q50EL0,reviewed,DMAW_ASPFU,Tryptophan dimethylallyltransferase (EC 2.5.1.34) (4-dimethylallyltryptophan synthase) (All-trans-hexaprenyl-diphosphate synthase) (L-tryptophan dimethylallyl transferase) (DMATS),dmaW fgaPT2 AFUA_2G18040,Aspergillus fumigatus (strain ATCC MYA-4609 / CBS 101355 / FGSC A1100 / Af293) (Neosartorya fumigata),459
P84126,P84126,unreviewed,P84126_THETH,indole-3-glycerol-phosphate synthase (EC 4.1.1.48),tthHB8IM,Thermus thermophilus,254
Q62868,Q62868,reviewed,ROCK2_RAT,"Rho-associated protein kinase 2 (EC 2.7.11.1) (Rho-associated, coiled-coil-containing protein kinase 2) (Rho-associated, coiled-coil-containing protein kinase II) (ROCK-II) (RhoA-binding kinase 2) (p150 ROK-alpha) (ROKalpha) (p164 ROCK-2)",Rock2,Rattus norvegicus (Rat),1388
P0A6X7,P0A6X7,reviewed,IHFA_ECOLI,Integration host factor subunit alpha (IHF-alpha),ihfA hid himA b1712 JW1702,Escherichia coli (strain K12),99
O66440,O66440,reviewed,AROD_AQUAE,3-dehydroquinate dehydratase (3-dehydroquinase) (EC 4.2.1.10) (Type I DHQase) (Type I dehydroquinase) (DHQ1),aroD aq_021,Aquifex aeolicus (strain VF5),219
P81458,P81458,reviewed,PA2B_DABRR,Basic phospholipase A2 RVV-VD (svPLA2) (EC 3.1.1.4) (Phosphatidylcholine 2-acylhydrolase) (R1),,Daboia russelii (Russel's viper) (Vipera russelii),121
O30409,O30409,reviewed,TYCC_BREPA,Tyrocidine synthase 3 (Tyrocidine synthase III) [Includes: ATP-dependent asparagine adenylase (AsnA) (Asparagine activase); ATP-dependent glutamine adenylase (GlnA) (Glutamine activase); ATP-dependent tyrosine adenylase (TyrA) (Tyrosine activase); ATP-dependent valine adenylase (ValA) (Valine activase); ATP-dependent ornithine adenylase (OrnA) (Ornithine activase); ATP-dependent leucine adenylase (LeuA) (Leucine activase)],tycC,Brevibacillus parabrevis,6486
O05208,O05208,reviewed,TOP6A_SACSH,Type 2 DNA topoisomerase 6 subunit A (EC 5.6.2.2) (Type II DNA topoisomerase VI subunit A),top6A J5U23_02507,Saccharolobus shibatae (strain ATCC 51178 / DSM 5389 / JCM 8931 / NBRC 15437 / B12) (Sulfolobus shibatae),389
P06181,P06181,reviewed,LIG8_PHACH,Ligninase H8 (EC 1.11.1.14) (Diarylpropane peroxidase) (Lignin peroxidase),LPOA,Phanerodontia chrysosporium (White-rot fungus) (Sporotrichum pruinosum),372
P0C189,P0C189,reviewed,CYC2_RHORU,Cytochrome c2,cycA,Rhodospirillum rubrum,112
O87949,O87949,reviewed,TORD_SHEMA,Chaperone protein TorD,torD,Shewanella massilia,209
P13984,P13984,reviewed,T2FB_HUMAN,General transcription factor IIF subunit 2 (General transcription factor IIF 30 kDa subunit) (Transcription initiation factor IIF subunit beta) (TFIIF-beta) (Transcription initiation factor RAP30),GTF2F2 RAP30,Homo sapiens (Human),249
P01989,P01989,reviewed,HBA_ANSAN,Hemoglobin subunit alpha-A (Alpha-A-globin) (Hemoglobin alpha-A chain),HBAA,Anser anser anser (Western greylag goose),142
P46427,P46427,reviewed,GSTP_ONCVO,Glutathione S-transferase 2 (EC 2.5.1.18) (GST class-pi),GST2,Onchocerca volvulus,208
O00746,O00746,reviewed,NDKM_HUMAN,"Nucleoside diphosphate kinase, mitochondrial (NDK) (NDP kinase, mitochondrial) (EC 2.7.4.6) (Nucleoside diphosphate kinase D) (NDPKD) (nm23-H4)",NME4 NM23D,Homo sapiens (Human),187
P00342,P00342,reviewed,LDHC_MOUSE,L-lactate dehydrogenase C chain (LDH-C) (EC 1.1.1.27) (LDH testis subunit) (LDH-X),Ldhc Ldh-3 Ldh3,Mus musculus (Mouse),332
NDK3_HUMAN,Q13232,reviewed,NDK3_HUMAN,Nucleoside diphosphate kinase 3 (NDK 3) (NDP kinase 3) (EC 2.7.4.6) (DR-nm23) (Nucleoside diphosphate kinase C) (NDPKC) (nm23-H3),NME3,Homo sapiens (Human),169
Q16719,Q16719,reviewed,KYNU_HUMAN,Kynureninase (EC 3.7.1.3) (L-kynurenine hydrolase),KYNU,Homo sapiens (Human),465
Q01234,Q01234,reviewed,NFSB_ENTCL,Oxygen-insensitive NAD(P)H nitroreductase (NR) (EC 1.-.-.-),nfsB nfnB nfsI,Enterobacter cloacae,217
P32267,P32267,reviewed,ASIA_BPT4,10 kDa anti-sigma factor (10 kDa RNA polymerase-associated protein) (Audrey Stevens' inhibitor),asiA,Enterobacteria phage T4 (Bacteriophage T4),90
Q9BY41,Q9BY41,reviewed,HDAC8_HUMAN,Histone deacetylase 8 (HD8) (EC 3.5.1.98) (Protein deacetylase HDAC8) (EC 3.5.1.-) (Protein decrotonylase HDAC8) (EC 3.5.1.-),HDAC8 HDACL1 CDA07,Homo sapiens (Human),377
