From,Entry,Reviewed,Entry Name,Protein names,Gene Names,Organism,Length,Gene Names
Q9CW46,Q9CW46,reviewed,RAVR1_MOUSE,Ribonucleoprotein PTB-binding 1 (Protein raver-1),Raver1 Kiaa1978,Mus musculus (Mouse),748,Raver1
P31572,P31572,reviewed,CAIB_ECOLI,L-carnitine CoA-transferase (EC 2.8.3.21) (Crotonobetainyl-CoA:carnitine CoA-transferase),caiB yaaN b0038 JW0037,Escherichia coli (strain K12),405,caiB
P61830,P61830,reviewed,H3_YEAST,Histone H3,HHT1 YBR010W YBR0201; HHT2 SIN2 YNL031C N2749,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),136,HHT1
P22621,P22621,reviewed,AMA1_PLAFF,Apical membrane antigen 1 (Merozoite surface antigen),AMA-1 PF83,Plasmodium falciparum (isolate FC27 / Papua New Guinea),622,AMA-1
CAH14_MOUSE,Q9WVT6,reviewed,CAH14_MOUSE,Carbonic anhydrase 14 (EC 4.2.1.1) (Carbonate dehydratase XIV) (Carbonic anhydrase XIV) (CA-XIV),Ca14 Car14 Catm,Mus musculus (Mouse),337,Ca14
Q9ALU0,Q9ALU0,unreviewed,Q9ALU0_GEOSE,Phosphoglycerate mutase,yhfR,Geobacillus stearothermophilus (Bacillus stearothermophilus),195,yhfR
Q53692,Q53692,reviewed,PHSA_STRAT,O-aminophenol oxidase (EC 1.10.3.4) (Phenoxazinone synthase) (PHS),phsA,Streptomyces antibioticus,643,phsA
P81458,P81458,reviewed,PA2B_DABRR,Basic phospholipase A2 RVV-VD (svPLA2) (EC 3.1.1.4) (Phosphatidylcholine 2-acylhydrolase) (R1),,Daboia russelii (Russel's viper) (Vipera russelii),121,
P00698,P00698,reviewed,LYSC_CHICK,"Lysozyme C (EC 3.2.1.17) (1,4-beta-N-acetylmuramidase C) (Allergen Gal d IV) (allergen Gal d 4)",LYZ,Gallus gallus (Chicken),147,LYZ
Q9LUJ3,Q9LUJ3,reviewed,RDM1_ARATH,Protein RDM1 (Protein RNA-directed DNA methylation 1),RDM1 At3g22680 MWI23.5,Arabidopsis thaliana (Mouse-ear cress),163,RDM1
KPCB_HUMAN,P05771,reviewed,KPCB_HUMAN,Protein kinase C beta type (PKC-B) (PKC-beta) (EC 2.7.11.13),PRKCB PKCB PRKCB1,Homo sapiens (Human),671,PRKCB
P35837,P35837,reviewed,NEEDL_BPP22,Tail needle protein gp26 (Head completion protein) (Packaged DNA stabilization protein) (Tail accessory factor gp26),26,Salmonella phage P22 (Bacteriophage P22),233,26
P61864,P05759,reviewed,RS31_YEAST,Ubiquitin-ribosomal protein eS31 fusion protein [Cleaved into: Ubiquitin; Small ribosomal subunit protein eS31 (40S ribosomal protein S31) (CEP76) (S37) (YS24)],RPS31 RPS37 UBI3 YLR167W L9470.14,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),152,RPS31
P61864,P0CG63,reviewed,UBI4P_YEAST,Polyubiquitin [Cleaved into: Ubiquitin],UBI4 SCD2 YLL039C,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),381,UBI4
P61864,P0CH08,reviewed,RL40A_YEAST,Ubiquitin-ribosomal protein eL40A fusion protein [Cleaved into: Ubiquitin; Large ribosomal subunit protein eL40A (60S ribosomal protein L40-A) (CEP52)],RPL40A UBI1 YIL148W,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),128,RPL40A
P61864,P0CH09,reviewed,RL40B_YEAST,Ubiquitin-ribosomal protein eL40B fusion protein [Cleaved into: Ubiquitin; Large ribosomal subunit protein eL40B (60S ribosomal protein L40-B) (CEP52)],RPL40B UBI2 YKR094C,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),128,RPL40B
P29723,P29723,reviewed,TA47_TREPA,Putative DD-carboxypeptidase TP_0574 (EC 3.4.-.-) (47 kDa lipoprotein) (Tp47) (Tpp47) (47 kDa membrane antigen) (47-kilodalton major integral membrane immunogen),TP_0574,Treponema pallidum (strain Nichols),434,TP_0574
P11883,P11883,reviewed,AL3A1_RAT,"Aldehyde dehydrogenase, dimeric NADP-preferring (EC 1.2.1.5) (Aldehyde dehydrogenase family 3 member A1) (HTC-ALDH) (Tumor-associated aldehyde dehydrogenase)",Aldh3a1 Aldd Aldh3,Rattus norvegicus (Rat),453,Aldh3a1
P03437,P03437,reviewed,HEMA_I68A0,Hemagglutinin [Cleaved into: Hemagglutinin HA1 chain; Hemagglutinin HA2 chain],HA,Influenza A virus (strain A/Aichi/2/1968 H3N2),566,HA
Q8TE04,Q8TE04,reviewed,PANK1_HUMAN,Pantothenate kinase 1 (hPanK) (hPanK1) (EC 2.7.1.33) (Pantothenic acid kinase 1),PANK1 PANK,Homo sapiens (Human),598,PANK1
P95470,P95470,reviewed,ARBA_CELJU,Extracellular exo-alpha-(1->5)-L-arabinofuranosidase ArbA (ABF) (EC 3.2.1.55) (Extracellular arabinan exo-alpha-(1->5)-L-arabinosidase ArbA) (Arabinosidase),arbA,Cellvibrio japonicus (strain Ueda107) (Pseudomonas fluorescens subsp. cellulosa),347,arbA
Q96IZ5,Q96IZ5,reviewed,RBM41_HUMAN,RNA-binding protein 41 (RNA-binding motif protein 41),RBM41,Homo sapiens (Human),413,RBM41
NDK3_HUMAN,Q13232,reviewed,NDK3_HUMAN,Nucleoside diphosphate kinase 3 (NDK 3) (NDP kinase 3) (EC 2.7.4.6) (DR-nm23) (Nucleoside diphosphate kinase C) (NDPKC) (nm23-H3),NME3,Homo sapiens (Human),169,NME3
P0A6T5,P0A6T5,reviewed,GCH1_ECOLI,GTP cyclohydrolase 1 (EC 3.5.4.16) (GTP cyclohydrolase I) (GTP-CH-I),folE b2153 JW2140,Escherichia coli (strain K12),222,folE
P22346,P22346,reviewed,PEPX_LACLC,Xaa-Pro dipeptidyl-peptidase (EC 3.4.14.11) (X-Pro dipeptidyl-peptidase) (X-prolyl-dipeptidyl aminopeptidase) (X-PDAP),pepX,Lactococcus lactis subsp. cremoris (Streptococcus cremoris),763,pepX
P50163,P50163,reviewed,TRN2_DATST,Tropinone reductase 2 (EC 1.1.1.236) (Tropinone reductase II) (TR-II),TR2,Datura stramonium (Jimsonweed) (Common thornapple),260,TR2
P30460,P01889,reviewed,HLAB_HUMAN,"HLA class I histocompatibility antigen, B alpha chain (Human leukocyte antigen B) (HLA-B)",HLA-B HLAB,Homo sapiens (Human),362,HLA-B
O34928,O34928,reviewed,PDAA_BACSU,Peptidoglycan-N-acetylmuramic acid deacetylase PdaA (Peptidoglycan MurNAc deacetylase) (EC 3.5.1.-),pdaA yfjS BSU07980,Bacillus subtilis (strain 168),263,pdaA
P30418,P30418,reviewed,NMT_CANAL,Glycylpeptide N-tetradecanoyltransferase (EC 2.3.1.97) (Myristoyl-CoA:protein N-myristoyltransferase) (NMT) (Peptide N-myristoyltransferase),NMT1 CAALFM_C401440WA CaO19.12111 CaO19.4641,Candida albicans (strain SC5314 / ATCC MYA-2876) (Yeast),451,NMT1
O27797,O27797,reviewed,IF2B_METTH,Translation initiation factor 2 subunit beta (aIF2-beta) (eIF-2-beta),eif2b MTH_1769,Methanothermobacter thermautotrophicus (strain ATCC 29096 / DSM 1053 / JCM 10044 / NBRC 100330 / Delta H) (Methanobacterium thermoautotrophicum),135,eif2b
P46427,P46427,reviewed,GSTP_ONCVO,Glutathione S-transferase 2 (EC 2.5.1.18) (GST class-pi),GST2,Onchocerca volvulus,208,GST2
P81154,P81154,reviewed,CYC22_RHOCE,Cytochrome c2 iso-2 (Cytochrome c552),,Rhodospirillum centenum (Rhodocista centenaria),121,
P02766,P02766,reviewed,TTHY_HUMAN,Transthyretin (ATTR) (Prealbumin) (TBPA),TTR PALB,Homo sapiens (Human),147,TTR
P37344,P37344,reviewed,PSPF_ECOLI,Psp operon transcriptional activator (Phage shock protein F),pspF ycjB b1303 JW1296,Escherichia coli (strain K12),325,pspF
P00692,P00692,reviewed,AMY_BACAM,"Alpha-amylase (EC 3.2.1.1) (1,4-alpha-D-glucan glucanohydrolase)",,Bacillus amyloliquefaciens (Bacillus velezensis),514,
P26827,P26827,reviewed,CDGT_THETU,Cyclomaltodextrin glucanotransferase (EC 2.4.1.19) (Cyclodextrin-glycosyltransferase) (CGTase),amyA,Thermoanaerobacterium thermosulfurigenes (Clostridium thermosulfurogenes),710,amyA
P37565,P37565,reviewed,HSLO_BACSU,33 kDa chaperonin (Heat shock protein 33 homolog) (HSP33),hslO yacC BSU00710,Bacillus subtilis (strain 168),291,hslO
P03050,P03050,reviewed,RARC_BPP22,Transcriptional repressor arc,arc,Salmonella phage P22 (Bacteriophage P22),53,arc
Q9P2J5,Q9P2J5,reviewed,SYLC_HUMAN,"Leucine--tRNA ligase, cytoplasmic (EC 6.1.1.4) (Leucyl-tRNA synthetase) (LeuRS) (cLRS)",LARS1 KIAA1352 LARS,Homo sapiens (Human),1176,LARS1
P47205,P47205,reviewed,LPXC_PSEAE,UDP-3-O-acyl-N-acetylglucosamine deacetylase (UDP-3-O-acyl-GlcNAc deacetylase) (EC 3.5.1.108) (UDP-3-O-[R-3-hydroxymyristoyl]-N-acetylglucosamine deacetylase),lpxC envA PA4406,Pseudomonas aeruginosa (strain ATCC 15692 / DSM 22644 / CIP 104116 / JCM 14847 / LMG 12228 / 1C / PRS 101 / PAO1),303,lpxC
Q08506,Q08506,reviewed,ACCO1_PETHY,1-aminocyclopropane-1-carboxylate oxidase 1 (ACC oxidase 1) (ACCO) (EC 1.14.17.4) (Ethylene-forming enzyme) (EFE),ACO1,Petunia hybrida (Petunia),319,ACO1
P0AA04,P0AA04,reviewed,PTHP_ECOLI,Phosphocarrier protein HPr (Histidine-containing protein),ptsH hpr b2415 JW2408,Escherichia coli (strain K12),85,ptsH
Q8GR64,Q8GR64,reviewed,QHED_PSEPU,Quinohemoprotein alcohol dehydrogenase ADH IIB (ADH IIB) (EC 1.1.9.1) (Alcohol dehydrogenase (azurin)),qbdA,Pseudomonas putida (Arthrobacter siderocapsulatus),690,qbdA
P18946,P18946,reviewed,CYB_CHICK,Cytochrome b (Complex III subunit 3) (Complex III subunit III) (Cytochrome b-c1 complex subunit 3) (Ubiquinol-cytochrome-c reductase complex cytochrome b subunit),MT-CYB COB CYTB MTCYB,Gallus gallus (Chicken),380,MT-CYB
P20371,P20371,reviewed,PCXA_ACIAD,"Protocatechuate 3,4-dioxygenase alpha chain (EC 1.13.11.3) (3,4-PCD)",pcaG ACIAD1712,Acinetobacter baylyi (strain ATCC 33305 / BD413 / ADP1),209,pcaG
P77994,P77994,reviewed,SIGA_THEMA,RNA polymerase sigma factor SigA (Sigma-A),sigA rpoD TM_1451,Thermotoga maritima (strain ATCC 43589 / DSM 3109 / JCM 10099 / NBRC 100826 / MSB8),399,sigA
P04382,P04382,reviewed,DYR_BPT4,Dihydrofolate reductase (EC 1.5.1.3),frd,Enterobacteria phage T4 (Bacteriophage T4),193,frd
P39207,P39207,reviewed,NDK1_ARATH,Nucleoside diphosphate kinase 1 (EC 2.7.4.6) (Nucleoside diphosphate kinase I) (NDK I) (NDP kinase I) (NDPK I),NDK1 NDPK1 At4g09320 T30A10.80,Arabidopsis thaliana (Mouse-ear cress),149,NDK1
P00609,P00609,reviewed,PA2B5_NOTSC,Basic phospholipase A2 notechis II-5 (svPLA2) (EC 3.1.1.4) (Phosphatidylcholine 2-acylhydrolase),,Notechis scutatus scutatus (Mainland tiger snake) (Common tiger snake),119,
Q8LNY5,Q8LNY5,unreviewed,Q8LNY5_TOBAC,Stromal ascorbate peroxidase,sapx,Nicotiana tabacum (Common tobacco),295,sapx
P53150,P53150,reviewed,LIF1_YEAST,Ligase-interacting factor 1,LIF1 YGL090W,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),421,LIF1
P25553,P25553,reviewed,ALDA_ECOLI,Lactaldehyde dehydrogenase (EC 1.2.1.22) (Aldehyde dehydrogenase A) (Glycolaldehyde dehydrogenase) (EC 1.2.1.21),aldA ald b1415 JW1412,Escherichia coli (strain K12),479,aldA
P28834,P28834,reviewed,IDH1_YEAST,"Isocitrate dehydrogenase [NAD] subunit 1, mitochondrial (EC 1.1.1.41) (Isocitric dehydrogenase) (NAD(+)-specific ICDH)",IDH1 YNL037C N2690,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),360,IDH1
P0AFV4,P0AFV4,reviewed,MEPS_ECOLI,Murein DD-endopeptidase MepS/Murein LD-carboxypeptidase (EC 3.4.-.-) (EC 3.4.17.13) (Lipoprotein Spr) (Murein hydrolase MepS),mepS spr yeiV b2175 JW2163,Escherichia coli (strain K12),188,mepS
Q58085,Q58085,reviewed,RIB7_METJA,"2,5-diamino-6-ribosylamino-4(3H)-pyrimidinone 5'-phosphate reductase (DAROPP reductase) (DARP reductase) (EC 1.1.1.302) (2,5-diamino-6-(5-phospho-D-ribosylamino)pyrimidin-4(3H)-one reductase) (2,5-diamino-6-ribitylamino-4(3H)-pyrimidinone 5'-phosphate synthase) (DARIPP synthase) (MjaRED)",arfC MJ0671,Methanocaldococcus jannaschii (strain ATCC 43067 / DSM 2661 / JAL-1 / JCM 10045 / NBRC 100440) (Methanococcus jannaschii),224,arfC
P54378,P54378,reviewed,GCST_BACSU,Aminomethyltransferase (EC 2.1.2.10) (Glycine cleavage system T protein),gcvT yqhI BSU24570,Bacillus subtilis (strain 168),362,gcvT
P47076,P47076,reviewed,RPC9_YEAST,DNA-directed RNA polymerase III subunit RPC9 (RNA polymerase III subunit C9) (RNA polymerase III subunit C17),RPC17 YJL011C J1349,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),161,RPC17
O66493,O66493,reviewed,AROC_AQUAE,Chorismate synthase (CS) (EC 4.2.3.5) (5-enolpyruvylshikimate-3-phosphate phospholyase),aroC aq_081,Aquifex aeolicus (strain VF5),398,aroC
Q9GV41,Q9GV41,reviewed,PGFS_TRYBB,"9,11-endoperoxide prostaglandin H2 reductase (EC 1.1.1.-) (Prostaglandin F2-alpha synthase)",,Trypanosoma brucei brucei,276,
P84751,P84751,reviewed,HVM63_MOUSE,Ig heavy chain Mem5,,Mus musculus (Mouse),237,
Q51669,Q51669,reviewed,GFA_PARDE,Glutathione-dependent formaldehyde-activating enzyme (EC 4.4.1.22) (S-(hydroxymethyl)glutathione synthase),gfa,Paracoccus denitrificans,194,gfa
P31658,P31658,reviewed,HCHA_ECOLI,Protein/nucleic acid deglycase 1 (EC 3.1.2.-) (EC 3.5.1.-) (EC 3.5.1.124) (Glyoxalase III) (EC 4.2.1.130) (Holding molecular chaperone) (Hsp31) (Maillard deglycase),hchA yedU yzzC b1967 JW1950,Escherichia coli (strain K12),283,hchA
Q8CWX6,Q8CWX6,reviewed,METE_STRMU,"5-methyltetrahydropteroyltriglutamate--homocysteine methyltransferase (EC 2.1.1.14) (Cobalamin-independent methionine synthase) (Methionine synthase, vitamin-B12 independent isozyme)",metE SMU_873,Streptococcus mutans serotype c (strain ATCC 700610 / UA159),745,metE
P06181,P06181,reviewed,LIG8_PHACH,Ligninase H8 (EC 1.11.1.14) (Diarylpropane peroxidase) (Lignin peroxidase),LPOA,Phanerodontia chrysosporium (White-rot fungus) (Sporotrichum pruinosum),372,LPOA
P49435,P49435,reviewed,APT1_YEAST,Adenine phosphoribosyltransferase 1 (APRT 1) (EC 2.4.2.7),APT1 YML022W,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),187,APT1
P07584,P07584,reviewed,ASTA_ASTAS,Astacin (EC 3.4.24.21) (Crayfish small molecule proteinase),,Astacus astacus (Noble crayfish) (Astacus fluviatilis),251,
RORA_HUMAN,P35398,reviewed,RORA_HUMAN,Nuclear receptor ROR-alpha (Nuclear receptor RZR-alpha) (Nuclear receptor subfamily 1 group F member 1) (RAR-related orphan receptor A) (Retinoid-related orphan receptor-alpha),RORA NR1F1 RZRA,Homo sapiens (Human),523,RORA
O70351,O70351,reviewed,HCD2_RAT,3-hydroxyacyl-CoA dehydrogenase type-2 (EC 1.1.1.35) (17-beta-estradiol 17-dehydrogenase) (EC 1.1.1.62) (2-methyl-3-hydroxybutyryl-CoA dehydrogenase) (MHBD) (3-alpha-(17-beta)-hydroxysteroid dehydrogenase (NAD(+))) (EC 1.1.1.239) (3-hydroxy-2-methylbutyryl-CoA dehydrogenase) (EC 1.1.1.178) (3-hydroxyacyl-CoA dehydrogenase type II) (3alpha(or 20beta)-hydroxysteroid dehydrogenase) (EC 1.1.1.53) (7-alpha-hydroxysteroid dehydrogenase) (EC 1.1.1.159) (Endoplasmic reticulum-associated amyloid beta-peptide-binding protein) (Mitochondrial ribonuclease P protein 2) (Mitochondrial RNase P protein 2) (Short chain dehydrogenase/reductase family 5C member 1) (Short-chain type dehydrogenase/reductase XH98G2) (Type II HADH),Hsd17b10 Erab Hadh2,Rattus norvegicus (Rat),261,Hsd17b10
MSCS_ECOLI,P0C0S1,reviewed,MSCS_ECOLI,Small-conductance mechanosensitive channel,mscS yggB b2924 JW2891,Escherichia coli (strain K12),286,mscS
Q9LBG2,Q9LBG2,reviewed,LVR_LEIAQ,"Levodione reductase (EC 1.1.1.-) ((6R)-2,2,6-trimethyl-1,4-cyclohexanedione reductase)",lvr,Leifsonia aquatica (Corynebacterium aquaticum),267,lvr
Q8N8N7,Q8N8N7,reviewed,PTGR2_HUMAN,Prostaglandin reductase 2 (PRG-2) (EC 1.3.1.48) (15-oxoprostaglandin 13-reductase) (Zinc-binding alcohol dehydrogenase domain-containing protein 1),PTGR2 ZADH1,Homo sapiens (Human),351,PTGR2
Q9V2Z6,Q9V2Z6,reviewed,GLKA_PYRFU,ADP-dependent glucose/glucosamine kinase (EC 2.7.1.-) (EC 2.7.1.147) (ADP-dependent glucokinase) (ADP-GK) (ADPGK) (Glucosamine kinase) (GlcN kinase),glkA PF0312,Pyrococcus furiosus (strain ATCC 43587 / DSM 3638 / JCM 8422 / Vc1),455,glkA
P46852,P46852,reviewed,YHHW_ECOLI,"Quercetin 2,3-dioxygenase (Quercetinase) (EC 1.13.11.24) (Pirin-like protein YhhW)",yhhW b3439 JW3402,Escherichia coli (strain K12),231,yhhW
P58486,P58486,reviewed,MENC_SALTY,o-succinylbenzoate synthase (OSB synthase) (OSBS) (EC 4.2.1.113) (4-(2'-carboxyphenyl)-4-oxybutyric acid synthase) (o-succinylbenzoic acid synthase),menC STM2306,Salmonella typhimurium (strain LT2 / SGSC1412 / ATCC 700720),320,menC
Q9HTN2,Q9HTN2,reviewed,ARGB_PSEAE,Acetylglutamate kinase (EC 2.7.2.8) (N-acetyl-L-glutamate 5-phosphotransferase) (NAG kinase) (NAGK),argB PA5323,Pseudomonas aeruginosa (strain ATCC 15692 / DSM 22644 / CIP 104116 / JCM 14847 / LMG 12228 / 1C / PRS 101 / PAO1),301,argB
O05208,O05208,reviewed,TOP6A_SACSH,Type 2 DNA topoisomerase 6 subunit A (EC 5.6.2.2) (Type II DNA topoisomerase VI subunit A),top6A J5U23_02507,Saccharolobus shibatae (strain ATCC 51178 / DSM 5389 / JCM 8931 / NBRC 15437 / B12) (Sulfolobus shibatae),389,top6A
P06988,P06988,reviewed,HISX_ECOLI,Histidinol dehydrogenase (HDH) (EC 1.1.1.23),hisD b2020 JW2002,Escherichia coli (strain K12),434,hisD
Q60358,Q60358,reviewed,MFNA_METJA,L-tyrosine/L-aspartate decarboxylase (TDC/ADC) (EC 4.1.1.11) (EC 4.1.1.25),mfnA MJ0050,Methanocaldococcus jannaschii (strain ATCC 43067 / DSM 2661 / JAL-1 / JCM 10045 / NBRC 100440) (Methanococcus jannaschii),396,mfnA
Q9ZFM2,Q9ZFM2,reviewed,XYNB_GEOSE,"Beta-xylosidase (EC 3.2.1.37) (1,4-beta-D-xylan xylohydrolase) (Xylan 1,4-beta-xylosidase)",xynB,Geobacillus stearothermophilus (Bacillus stearothermophilus),504,xynB
INGR1_HUMAN,P15260,reviewed,INGR1_HUMAN,Interferon gamma receptor 1 (IFN-gamma receptor 1) (IFN-gamma-R1) (CDw119) (Interferon gamma receptor alpha-chain) (IFN-gamma-R-alpha) (CD antigen CD119),IFNGR1,Homo sapiens (Human),489,IFNGR1
P23965,P23965,reviewed,ECI1_RAT,"Enoyl-CoA delta isomerase 1, mitochondrial (MECI) (EC 5.3.3.8) (3,2-trans-enoyl-CoA isomerase) (Delta(3),Delta(2)-enoyl-CoA isomerase) (D3,D2-enoyl-CoA isomerase) (Dodecenoyl-CoA isomerase)",Eci1 Dci,Rattus norvegicus (Rat),289,Eci1
P16099,P16099,reviewed,DHTM_METME,Trimethylamine dehydrogenase (TMADh) (EC 1.5.8.2),tmd,Methylophilus methylotrophus (Bacterium W3A1),730,tmd
P06737,P06737,reviewed,PYGL_HUMAN,"Glycogen phosphorylase, liver form (EC 2.4.1.1)",PYGL,Homo sapiens (Human),847,PYGL
PDK1_HUMAN,Q15118,reviewed,PDK1_HUMAN,"[Pyruvate dehydrogenase (acetyl-transferring)] kinase isozyme 1, mitochondrial (EC 2.7.11.2) (Pyruvate dehydrogenase kinase isoform 1) (PDH kinase 1)",PDK1 PDHK1,Homo sapiens (Human),436,PDK1
Q9M9P3,Q9M9P3,reviewed,UGPA2_ARATH,UTP--glucose-1-phosphate uridylyltransferase 2 (EC 2.7.7.9) (UDP-glucose pyrophosphorylase 2) (AtUGP2) (UDPGP 2) (UGPase 2),UGP2 At3g03250 T17B22.6,Arabidopsis thaliana (Mouse-ear cress),469,UGP2
APC_HUMAN,P25054,reviewed,APC_HUMAN,Adenomatous polyposis coli protein (Protein APC) (Deleted in polyposis 2.5),APC DP2.5,Homo sapiens (Human),2843,APC
P04223,P04223,reviewed,HA1K_MOUSE,"H-2 class I histocompatibility antigen, K-K alpha chain (H-2K(K))",H2-K1 H2-K,Mus musculus (Mouse),369,H2-K1
P19157,P19157,reviewed,GSTP1_MOUSE,Glutathione S-transferase P 1 (Gst P1) (EC 2.5.1.18) (GST YF-YF) (GST class-pi) (GST-piB) (Preadipocyte growth factor),Gstp1 Gstpib,Mus musculus (Mouse),210,Gstp1
P29373,P29373,reviewed,RABP2_HUMAN,Cellular retinoic acid-binding protein 2 (Cellular retinoic acid-binding protein II) (CRABP-II),CRABP2,Homo sapiens (Human),138,CRABP2
Q9JI78,Q9JI78,reviewed,NGLY1_MOUSE,Peptide-N(4)-(N-acetyl-beta-glucosaminyl)asparagine amidase (PNGase) (mPNGase) (EC 3.5.1.52) (N-glycanase 1) (Peptide:N-glycanase),Ngly1,Mus musculus (Mouse),651,Ngly1
Q8NFH8,Q8NFH8,reviewed,REPS2_HUMAN,RalBP1-associated Eps domain-containing protein 2 (Partner of RalBP1) (RalBP1-interacting protein 2),REPS2 POB1,Homo sapiens (Human),660,REPS2
P02592,P02592,reviewed,AEQ2_AEQVI,Aequorin-2,,Aequorea victoria (Water jellyfish) (Mesonema victoria),196,
VEGFA_HUMAN,P15692,reviewed,VEGFA_HUMAN,"Vascular endothelial growth factor A, long form (L-VEGF) (Vascular permeability factor) (VPF) [Cleaved into: N-VEGF; VEGFA]",VEGFA VEGF,Homo sapiens (Human),395,VEGFA
Q8DLI5,Q8DLI5,reviewed,SYE_THEVB,Glutamate--tRNA ligase (EC 6.1.1.17) (Glutamyl-tRNA synthetase) (GluRS),gltX tll0506,Thermosynechococcus vestitus (strain NIES-2133 / IAM M-273 / BP-1),485,gltX
GSTM1_HUMAN,P09488,reviewed,GSTM1_HUMAN,Glutathione S-transferase Mu 1 (EC 2.5.1.18) (GST HB subunit 4) (GST class-mu 1) (GSTM1-1) (GSTM1a-1a) (GSTM1b-1b) (GTH4),GSTM1 GST1,Homo sapiens (Human),218,GSTM1
Q9X034,Q9X034,reviewed,MTAD_THEMA,5-methylthioadenosine/S-adenosylhomocysteine deaminase (MTA/SAH deaminase) (EC 3.5.4.28) (EC 3.5.4.31),mtaD TM_0936,Thermotoga maritima (strain ATCC 43589 / DSM 3109 / JCM 10099 / NBRC 100826 / MSB8),406,mtaD
P03536,P03536,reviewed,NSP3_ROTS1,Non-structural protein 3 (NSP3) (NCVP4) (Non-structural RNA-binding protein 34) (NS34),,Rotavirus A (strain RVA/SA11-Both/G3P5B[2]) (RV-A) (Simian Agent 11 (strain Both)),315,
O14561,O14561,reviewed,ACPM_HUMAN,"Acyl carrier protein, mitochondrial (ACP) (CI-SDAP) (NADH-ubiquinone oxidoreductase 9.6 kDa subunit)",NDUFAB1,Homo sapiens (Human),156,NDUFAB1
Q8PZK8,Q8PZK8,reviewed,Y484_METMA,Protein MM_0484,MM_0484,Methanosarcina mazei (strain ATCC BAA-159 / DSM 3647 / Goe1 / Go1 / JCM 11833 / OCM 88) (Methanosarcina frisia),199,MM_0484
P71086,P71086,reviewed,PERR_BACSU,Peroxide operon regulator,perR ygaG BSU08730,Bacillus subtilis (strain 168),145,perR
P15303,P15303,reviewed,SEC23_YEAST,Protein transport protein SEC23,SEC23 YPR181C P9705.14,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),768,SEC23
O95881,O95881,reviewed,TXD12_HUMAN,Thioredoxin domain-containing protein 12 (EC 1.8.4.2) (Endoplasmic reticulum resident protein 18) (ER protein 18) (ERp18) (Endoplasmic reticulum resident protein 19) (ER protein 19) (ERp19) (Thioredoxin-like protein p19) (hTLP19),TXNDC12 TLP19 UNQ713/PRO1376,Homo sapiens (Human),172,TXNDC12
P43358,P43358,reviewed,MAGA4_HUMAN,Melanoma-associated antigen 4 (Cancer/testis antigen 1.4) (CT1.4) (MAGE-4 antigen) (MAGE-41 antigen) (MAGE-X2 antigen),MAGEA4 MAGE4,Homo sapiens (Human),317,MAGEA4
P32361,P32361,reviewed,IRE1_YEAST,Serine/threonine-protein kinase/endoribonuclease IRE1 (Endoplasmic reticulum-to-nucleus signaling 1) [Includes: Serine/threonine-protein kinase (EC 2.7.11.1); Endoribonuclease (EC 3.1.26.-)],IRE1 ERN1 YHR079C,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),1115,IRE1
P00326,P00326,reviewed,ADH1G_HUMAN,Alcohol dehydrogenase 1C (EC 1.1.1.1) (Alcohol dehydrogenase subunit gamma),ADH1C ADH3,Homo sapiens (Human),375,ADH1C
P01857,P01857,reviewed,IGHG1_HUMAN,Immunoglobulin heavy constant gamma 1 (Ig gamma-1 chain C region) (Ig gamma-1 chain C region EU) (Ig gamma-1 chain C region KOL) (Ig gamma-1 chain C region NIE),IGHG1,Homo sapiens (Human),399,IGHG1
Q57600,Q57600,reviewed,PURP_METJA,5-formaminoimidazole-4-carboxamide-1-(beta)-D-ribofuranosyl 5'-monophosphate synthetase (EC 6.3.4.23) (5-aminoimidazole-4-carboxamide-1-beta-D-ribofuranosyl 5'-monophosphate--formate ligase),purP MJ0136,Methanocaldococcus jannaschii (strain ATCC 43067 / DSM 2661 / JAL-1 / JCM 10045 / NBRC 100440) (Methanococcus jannaschii),361,purP
Q8SR45,Q8SR45,reviewed,MAP2_ENCCU,Methionine aminopeptidase 2 (MAP 2) (MetAP 2) (EC 3.4.11.18) (Peptidase M),MAP2 ECU10_0750,Encephalitozoon cuniculi (strain GB-M1) (Microsporidian parasite),358,MAP2
Q9KIE5,Q9KIE5,unreviewed,Q9KIE5_STRHY,FkbI,fkbI,Streptomyces hygroscopicus subsp. ascomyceticus,366,fkbI
Q8P8S1,Q8P8S1,reviewed,ORN_XANCP,Oligoribonuclease (EC 3.1.15.-),orn XCC2168,Xanthomonas campestris pv. campestris (strain ATCC 33913 / DSM 3586 / NCPPB 528 / LMG 568 / P 25),194,orn
