Pharma Model,Num Feature,Fit,Norm Fit,Num Hydrophobic,Num HB Acceptor,Num HB Donor,Num Positive,Num Negative,Num Aromatic,Name,Class,Uniplot,Function,Disease
2pp4_A_cavity_1,8,2.794,0.3493,6,1,1,0,0,0,Protein CBFA2T1,TRANSCRIPTION,MTG8_HUMAN,Transcription regulator that excerts its function by binding to histone deacetylases and transcription factors. Can repress transactivation mediated by TCF12.,A chromosomal aberration involving RUNX1T1 is a cause of acute myeloid leukemia (AML-M2). Translocation t(8;21)(q22;q22) with RUNX1/AML1.;Defects in RUNX1T1 may be a cause of colorectal cancer (CRC) [MIM:114500].
1k8d_A_cavity_2,8,2.793,0.3491,3,1,2,1,1,0,"H-2 class I histocompatibility antigen, Q7 alpha chain",NONE,P14429,NONE,NONE
1ytc_A_cavity_1,8,2.793,0.3491,5,2,1,0,0,0,Cytochrome c iso-2,NONE,P00045,NONE,NONE
2veq_A_cavity_5,8,2.789,0.3487,4,1,1,0,2,0,Centromere DNA-binding protein complex CBF3 subunit B,NONE,P40969,NONE,NONE
2gzo_A_cavity_4,7,2.44,0.3486,4,0,2,0,1,0,UPF0301 protein SO_3346,NONE,Q8EBZ9,NONE,NONE
2rh0_C_cavity_3,8,2.784,0.348,5,1,2,0,0,0,NudC domain-containing protein 2,NONE,Q9CQ48,NONE,NONE
1ya0_B_cavity_1,10,3.475,0.3475,6,2,1,1,0,0,Protein SMG7,NONE,Q92540,NONE,NONE
1mjo_C_cavity_1,8,2.773,0.3466,6,0,2,0,0,0,Met repressor,NONE,P0A8U6,NONE,NONE
2h6a_A_cavity_1,8,2.772,0.3465,4,1,1,1,1,0,Metallo-beta-lactamase L1,NONE,P52700,Involved in zinc ion binding,NONE
1o7d_C_cavity_1,8,2.771,0.3463,6,1,1,0,0,0,Lysosomal alpha-mannosidase,NONE,Q29451,Necessary for the catabolism of N-linked carbohydrates released during glycoprotein turnover.,NONE
2cb2_D_cavity_5,6,2.077,0.3462,4,0,1,0,1,0,Sulfur oxygenase/reductase,NONE,P29082,NONE,NONE
2r6w_A_cavity_1,8,2.764,0.3455,4,1,1,2,0,0,Estrogen receptor,TRANSCRIPTION,ESR1_HUMAN,Nuclear hormone receptor. The steroid hormones and their receptors are involved in the regulation of eukaryotic gene expression and affect cellular proliferation and differentiation in target tissues.,NONE
1dw3_C_cavity_1,7,2.418,0.3454,5,1,1,0,0,0,Cytochrome c-type protein SHP,NONE,P81238,Involved in iron ion binding,NONE
2rhs_A_cavity_1,14,4.825,0.3446,7,2,2,3,0,0,Phenylalanyl-tRNA synthetase alpha chain,NONE,Q4L5E3,NONE,NONE
2bxg_A_cavity_8,8,2.754,0.3443,5,1,1,1,0,0,Serum albumin,TRANSPORT PROTEIN,ALBU_HUMAN,"Serum albumin, the main protein of plasma, has a good binding capacity for water, Ca(2+), Na(+), K(+), fatty acids, hormones, bilirubin and drugs. Its main function is the regulation of the colloidal osmotic pressure of blood.",Defects in ALB are a cause of familial dysalbuminemic hyperthyroxinemia (FDH) [MIM:103600]. FDH is a form of euthyroid hyperthyroxinemia that is due to increased affinity of ALB for T(4). It is the most common cause of inherited euthyroid hyperthyroxinemia in Caucasian population.;A variant structure of albumin could lead to increased binding of zinc resulting in an asymptomatic augmentation of zinc concentration in the blood [MIM:194470].
3ezt_B_cavity_1,8,2.752,0.344,5,1,1,0,1,0,Histone deacetylase 8,NONE,Q9BY41,Chromatin structure and dynamics,NONE
1sfr_C_cavity_1,8,2.745,0.3431,4,2,1,0,1,0,Antigen 85-A,NONE,P0A4V2,NONE,NONE
1ef8_C_cavity_2,8,2.742,0.3428,4,2,2,0,0,0,Methylmalonyl-CoA decarboxylase,NONE,P52045,Lipid transport and metabolism,NONE
1r4w_B_cavity_1,8,2.741,0.3427,7,1,0,0,0,0,Glutathione S-transferase kappa 1,NONE,P24473,Involved in protein disulfide oxidoreductase activity,NONE
1bpw_A_cavity_1,8,2.741,0.3426,6,1,1,0,0,0,Betaine aldehyde dehydrogenase,NONE,P56533,Involved in oxidoreductase activity,NONE
1go3_N_cavity_1,8,2.74,0.3424,6,1,1,0,0,0,DNA-directed RNA polymerase subunit E,NONE,Q57840,NONE,NONE
3cdk_B_cavity_2,6,2.052,0.3421,4,1,0,1,0,0,Probable succinyl-Co,NONE,P42315,NONE,NONE
2i5p_O_cavity_1,8,2.736,0.342,6,1,1,0,0,0,Glyceraldehyde-3-phosphate dehydrogenase 1,NONE,P84998,NONE,NONE
1lar_A_cavity_1,8,2.734,0.3418,5,1,1,0,1,0,Receptor-type tyrosine-protein phosphatase F,NONE,P10586,NONE,NONE
2ify_A_cavity_1,8,2.732,0.3414,6,1,1,0,0,0,"2,3-bisphosphoglycerate-independent phosphoglycerate mutase",NONE,Q81X77,NONE,NONE
2v4j_D_cavity_3,8,2.73,0.3413,4,2,1,0,1,0,"Sulfite reductase, dissimilatory-type subunit alpha",NONE,P45574,NONE,NONE
1kb9_A_cavity_3,8,2.723,0.3404,5,1,2,0,0,0,"Cytochrome b-c1 complex subunit 1, mitochondrial",NONE,P07256,NONE,NONE
2de4_B_cavity_1,7,2.382,0.3402,4,2,1,0,0,0,2-hydroxybiphenyl-2-sulfinate desulfinase,NONE,P54997,NONE,NONE
2bxr_A_cavity_2,7,2.372,0.3389,5,1,1,0,0,0,Amine oxidase [flavin-containing] A,OXIDOREDUCTASE,AOFA_HUMAN,Catalyzes the oxidative deamination of biogenic and xenobiotic amines and has important functions in the metabolism of neuroactive and vasoactive amines in the central nervous system and peripheral tissues. MAOA preferentially oxidizes biogenic amines suc,"Defects in MAOA are the cause of Brunner syndrome [MIM:300615]. Brunner syndrome is a form of X-linked non- dysmorphic mild mental retardation. Male patients are affected by a syndrome of borderline mental retardation and exhibit abnormal behavior, including disturbed regulation of impulsive aggression. Obligate female carriers have normal intelligence and behavior."
1zo0_A_cavity_1,8,2.709,0.3387,6,1,1,0,0,0,Ornithine decarboxylase antizyme,NONE,P54370,NONE,NONE
1dl5_B_cavity_2,10,3.386,0.3386,3,1,2,4,0,0,Protein-L-isoaspartate O-methyltransferase,NONE,Q56308,Involved in RNA binding,NONE
1p0n_B_cavity_2,8,2.706,0.3382,4,2,1,1,0,0,Isopentenyl-diphosphate delta-isomerase,NONE,P50740,Involved in catalytic activity,NONE
1skq_B_cavity_1,8,2.7,0.3375,6,1,1,0,0,0,Elongation factor 1-alpha,NONE,P35021,Involved in GTPase activity,NONE
1oqs_H_cavity_1,8,2.691,0.3364,5,1,1,1,0,0,Phospholipase A2 RV-7,NONE,P31100,NONE,NONE
1ud1_C_cavity_2,7,2.352,0.3359,6,1,0,0,0,0,Glycinin G1,NONE,P04776,NONE,NONE
2b0c_A_cavity_1,8,2.685,0.3356,4,1,2,1,0,0,Phosphatase yihX,NONE,P0A8Y3,NONE,NONE
1h21_C_cavity_2,8,2.676,0.3345,6,2,0,0,0,0,Split-Soret cytochrome c,NONE,P81040,Diheme cytochrome c which may be involved in sulfate reduction,NONE
2gb5_B_cavity_4,8,2.673,0.3341,4,3,1,0,0,0,NADH pyrophosphatase,NONE,P32664,Involved in hydrolase activity,NONE
1xk0_A_cavity_1,7,2.336,0.3337,5,0,1,0,1,0,Heme oxygenase 1,OXIDOREDUCTASE,HMOX1_HUMAN,"Heme oxygenase cleaves the heme ring at the alpha methene bridge to form biliverdin. Biliverdin is subsequently converted to bilirubin by biliverdin reductase. Under physiological conditions, the activity of heme oxygenase is highest in the spleen, where",NONE
1ry2_A_cavity_2,8,2.666,0.3332,5,1,2,0,0,0,Acetyl-coenzyme A synthetase 1,NONE,Q01574,Catalyzes the production of acetyl-CoA. Provides the acetyl-CoA source for histone acetylation in the nucleus.,NONE
3dra_B_cavity_3,9,2.997,0.333,4,2,1,1,1,0,Protein farnesyltransferase/geranylgeranyltransferase type-1 subunit alpha,NONE,Q9Y765,NONE,NONE
3brw_A_cavity_1,8,2.66,0.3325,5,0,2,1,0,0,Rap1 GTPase-activating protein 1,NONE,P47736,Involved in GTPase activator activity,NONE
3dor_A_cavity_2,7,2.317,0.331,4,1,2,0,0,0,Protein CT_858,NONE,O84866,NONE,NONE
1xnf_B_cavity_1,8,2.646,0.3308,3,1,2,2,0,0,Lipoprotein nlpI precursor,NONE,P0AFB1,May be involved in cell division. Overexpression of nlpI results in the loss of the rod morphology and the formation of single prolate ellipsoids and pairs of prolate ellipsoids joined by partial constrictions,NONE
1xrx_A_cavity_1,7,2.314,0.3306,4,2,1,0,0,0,Protein seqA,NONE,P0AFY9,NONE,NONE
2dne_A_cavity_1,11,3.634,0.3304,9,1,1,0,0,0,"Dihydrolipoyllysine-residue acetyltransferase component of pyruvate dehydrogenase complex, mitochondrial",NONE,P10515,Energy production and conversion,NONE
1eyr_A_cavity_1,7,2.31,0.33,6,0,1,0,0,0,N-acylneuraminate cytidylyltransferase,NONE,P0A0Z8,Cell wall/membrane/envelope biogenesis,NONE
2gd9_B_cavity_1,9,2.967,0.3297,6,2,1,0,0,0,Uncharacterized protein yyaP,NONE,P37508,NONE,NONE
2j3t_C_cavity_1,9,2.964,0.3293,5,2,2,0,0,0,Trafficking protein particle complex subunit 3,NONE,O55013,NONE,NONE
2hps_A_cavity_1,8,2.633,0.3291,5,2,1,0,0,0,Luciferin-binding protein,NONE,P05938,NONE,NONE
2z0s_A_cavity_1,8,2.63,0.3288,4,1,2,1,0,0,Probable exosome complex RNA-binding protein 1,NONE,Q9YC02,NONE,NONE
1n9o_A_cavity_1,9,2.952,0.328,5,2,2,0,0,0,Putative blue light receptor,NONE,Q8LPE0,Involved in signal transducer activity,NONE
1emy_A_cavity_1,10,3.278,0.3278,6,1,1,0,2,0,Myoglobin,NONE,P02186,NONE,NONE
1kmh_A_cavity_3,8,2.619,0.3274,6,0,2,0,0,0,"ATP synthase subunit alpha, chloroplastic",NONE,P06450,NONE,NONE
1kw2_A_cavity_3,15,4.907,0.3271,8,0,3,3,1,0,Vitamin D-binding protein,TRANSPORT PROTEIN,VTDB_HUMAN,"Multifunctional protein found in plasma, ascitic fluid, cerebrospinal fluid, and urine and on the surface of many cell types. In plasma, it carries the vitamin D sterols and prevents polymerization of actin by binding its monomers. DBP associates with mem",NONE
3eay_A_cavity_1,7,2.286,0.3266,3,1,1,0,2,0,Sentrin-specific protease 7,HYDROLASE,SENP7_HUMAN,"Protease that deconjugates SUMO2 and SUMO3 from targeted proteins, but not SUMO1. Catalyzes the deconjugation of poly-SUMO2 and poly-SUMO3 chains. Has very low efficiency in processing full- length SUMO proteins to their mature forms.",NONE
1qvw_B_cavity_1,9,2.937,0.3263,5,2,1,1,0,0,Probable chaperone protein HSP31,NONE,Q04432,Involved in protein binding,NONE
2e7n_A_cavity_1,9,2.936,0.3262,5,0,3,0,1,0,Bromodomain-containing protein 3,NONE,Q15059,NONE,NONE
1n0l_D_cavity_1,8,2.609,0.3261,5,2,1,0,0,0,Chaperone protein papD,NONE,P15319,NONE,NONE
1ehw_A_cavity_1,8,2.609,0.3261,4,1,1,1,1,0,"Nucleoside diphosphate kinase, mitochondrial",NONE,O00746,NONE,NONE
2ee4_A_cavity_1,8,2.608,0.326,5,2,0,0,1,0,Rho GTPase-activating protein 5,NONE,Q13017,NONE,NONE
2a9e_A_cavity_2,9,2.928,0.3254,3,2,1,0,3,0,Catalase,NONE,P77872,Involved in catalase activity,NONE
1sqi_B_cavity_2,8,2.601,0.3252,7,0,1,0,0,0,4-hydroxyphenylpyruvate dioxygenase,NONE,P32754,Amino acid transport and metabolism,NONE
1fpp_B_cavity_1,8,2.6,0.325,6,1,1,0,0,0,Protein farnesyltransferase subunit beta,NONE,Q02293,NONE,NONE
1xx6_B_cavity_1,9,2.924,0.3249,6,1,1,1,0,0,Thymidine kinase,NONE,Q97F65,Involved in thymidine kinase activity,NONE
1cbf_A_cavity_2,8,2.598,0.3248,4,3,1,0,0,0,Cobalt-precorrin-4 C(11)-methyltransferase,NONE,O87696,Coenzyme transport and metabolism,NONE
3ein_A_cavity_2,11,3.57,0.3245,7,3,1,0,0,0,Glutathione S-transferase 1-1,NONE,P20432,NONE,NONE
2ovw_D_cavity_2,11,3.566,0.3242,5,2,2,1,1,0,Endoglucanase type C,NONE,P46237,"Involved in hydrolase activity, hydrolyzing O-glycosyl compounds",NONE
1sy6_H_cavity_1,8,2.592,0.324,5,1,1,1,0,0,T-cell surface glycoprotein CD3 epsilon chain,SIGNALING PROTEIN/ANTIBIOTIC,CD3E_HUMAN,The CD3 complex mediates signal transduction.,NONE
2cun_A_cavity_1,8,2.591,0.3238,6,0,2,0,0,0,Phosphoglycerate kinase,NONE,O58965,NONE,NONE
1kop_A_cavity_1,9,2.912,0.3235,5,2,1,0,1,0,Carbonic anhydrase,NONE,Q50940,Involved in carbonate dehydratase activity,NONE
2dxc_L_cavity_3,8,2.588,0.3235,5,0,3,0,0,0,Thiocyanate hydrolase subunit alpha,NONE,O66187,NONE,NONE
1vh6_A_cavity_1,9,2.91,0.3233,7,0,2,0,0,0,Flagellar protein fliS,NONE,P39739,NONE,NONE
3bd0_C_cavity_1,9,2.91,0.3233,5,1,2,0,1,0,Protein MEMO1,NONE,Q9Y316,NONE,NONE
3cs5_B_cavity_1,9,2.9,0.3223,7,0,2,0,0,0,Phycobilisome degradation protein nblA,NONE,P35087,NONE,NONE
1qox_N_cavity_1,9,2.897,0.3219,4,1,2,1,1,0,Beta-glucosidase,NONE,Q03506,NONE,NONE
1wdm_D_cavity_2,9,2.897,0.3219,6,2,1,0,0,0,Fatty acid oxidation complex subunit alpha,NONE,P28793,NONE,NONE
1n6b_A_cavity_2,9,2.896,0.3218,7,2,0,0,0,0,Cytochrome P450 2C5,NONE,P00179,Involved in monooxygenase activity,NONE
1a0e_D_cavity_3,8,2.575,0.3218,4,2,2,0,0,0,Xylose isomerase,NONE,P45687,NONE,NONE
3fvm_B_cavity_3,8,2.573,0.3216,5,2,1,0,0,0,Mannonate dehydratase,NONE,A4VVI4,NONE,NONE
2zc6_B_cavity_1,9,2.888,0.3209,5,1,3,0,0,0,Penicillin-binding protein 1A,NONE,Q04707,NONE,NONE
2p0m_A_cavity_1,7,2.241,0.3202,4,2,1,0,0,0,Arachidonate 15-lipoxygenase,NONE,P12530,NONE,NONE
1k0h_A_cavity_1,17,5.443,0.3201,6,2,3,6,0,0,Tail attachment protein,NONE,P03714,NONE,NONE
1is8_D_cavity_1,9,2.879,0.3199,7,1,1,0,0,0,GTP cyclohydrolase I,NONE,P30793,Coenzyme transport and metabolism,NONE
1q98_A_cavity_1,9,2.877,0.3197,4,1,4,0,0,0,Probable thiol peroxidase,NONE,Q57549,NONE,NONE
2v0x_B_cavity_2,9,2.876,0.3195,7,2,0,0,0,0,"Lamina-associated polypeptide 2, isoforms alpha/zeta",NONE,Q61033,NONE,NONE
1tqp_A_cavity_1,9,2.871,0.3191,5,1,1,1,1,0,RIO-type serine/threonine-protein kinase Rio2,NONE,O30245,Involved in protein kinase activity,NONE
2tpl_B_cavity_1,9,2.867,0.3186,4,4,0,0,1,0,Tyrosine phenol-lyase,NONE,P31012,Amino acid transport and metabolism,NONE
1vhj_D_cavity_2,9,2.866,0.3185,6,1,1,1,0,0,Purine nucleoside phosphorylase deoD-type 1,NONE,Q9KPM0,NONE,NONE
1wi6_A_cavity_1,8,2.546,0.3183,6,1,1,0,0,0,Ribonucleoprotein PTB-binding 1,NONE,Q9CW46,NONE,NONE
1xvv_A_cavity_4,9,2.863,0.3181,4,3,1,0,1,0,Crotonobetainyl-CoA:carnitine CoA-transferase,NONE,P31572,Energy production and conversion,NONE
1id3_A_cavity_2,9,2.863,0.3181,8,1,0,0,0,0,Histone H3,NONE,P61830,NONE,NONE
1yxe_A_cavity_3,8,2.542,0.3178,5,1,1,0,1,0,Apical membrane antigen 1,NONE,P22621,NONE,NONE
1rj6_A_cavity_1,9,2.858,0.3176,5,3,0,0,1,0,Carbonic anhydrase 14,LYASE,CAH14_MOUSE,Reversible hydration of carbon dioxide.,NONE
1h2f_A_cavity_1,9,2.857,0.3175,4,1,2,0,2,0,Phosphoglycerate mutase,NONE,Q9ALU0,Carbohydrate transport and metabolism,NONE
3gyr_C_cavity_1,9,2.855,0.3172,8,1,0,0,0,0,Phenoxazinone synthase,NONE,Q53692,NONE,NONE
1vip_A_cavity_1,9,2.844,0.316,6,1,1,1,0,0,Phospholipase A2 RVV-VD,NONE,P81458,NONE,NONE
1p2c_E_cavity_1,8,2.525,0.3157,5,0,3,0,0,0,Lysozyme C,NONE,P00698,Involved in lysozyme activity,NONE
3gan_A_cavity_1,7,2.21,0.3157,5,0,2,0,0,0,Uncharacterized protein At3g22680,NONE,Q9LUJ3,NONE,NONE
2i0e_B_cavity_1,9,2.841,0.3156,6,1,2,0,0,0,Protein kinase C beta type,TRANSFERASE,KPCB_HUMAN,"This is a calcium-activated, phospholipid-dependent, serine- and threonine-specific enzyme. PKC is activated by diacylglycerol which in turn phosphorylates a range of cellular proteins. PKC also serves as the receptor for phorbol esters, a class of tumor",NONE
3c9i_B_cavity_2,8,2.525,0.3156,6,0,2,0,0,0,Tail needle protein gp26,NONE,P35837,NONE,NONE
1zw7_A_cavity_1,9,2.838,0.3154,7,1,1,0,0,0,Ubiquitin,NONE,P61864,NONE,NONE
1o75_A_cavity_3,9,2.838,0.3153,6,1,2,0,0,0,47 kDa membrane antigen,NONE,P29723,"This antigen is a pathogen-specific membrane immunogen. Most abundant of the membrane lipoproteins, only found so far in pathogenic treponemes, suggesting that it is an important structural moiety in the cell envelope of virulent treponemal subspecies",NONE
1ad3_B_cavity_3,9,2.827,0.3141,4,2,2,0,1,0,"Aldehyde dehydrogenase, dimeric NADP-preferring",NONE,P11883,Involved in aldehyde dehydrogenase [NAD(P)+] activity,NONE
1eo8_H_cavity_1,7,2.196,0.3138,6,1,0,0,0,0,Hemagglutinin,NONE,P03437,Involved in host cell surface receptor binding,NONE
2i7n_B_cavity_1,11,3.451,0.3137,6,2,2,1,0,0,Pantothenate kinase 1,NONE,Q8TE04,NONE,NONE
1gyh_A_cavity_2,12,3.763,0.3136,6,1,2,3,0,0,"Endo-a1,5-arabinanase",NONE,P95470,"Involved in hydrolase activity, hydrolyzing O-glycosyl compounds",NONE
2cpx_A_cavity_1,9,2.821,0.3134,6,2,1,0,0,0,RNA-binding protein 41,NONE,Q96IZ5,NONE,NONE
1zs6_A_cavity_1,9,2.817,0.313,5,1,1,0,2,0,Nucleoside diphosphate kinase 3,TRANSFERASE,NDK3_HUMAN,"Major role in the synthesis of nucleoside triphosphates other than ATP. The ATP gamma phosphate is transferred to the NDP beta phosphate via a ping-pong mechanism, using a phosphorylated active-site intermediate. Probably has a role in normal hematopoiesi",NONE
1n3r_F_cavity_1,9,2.816,0.3129,6,0,3,0,0,0,GTP cyclohydrolase 1,NONE,P0A6T5,NONE,NONE
1lns_A_cavity_2,7,2.19,0.3129,3,0,2,1,1,0,Xaa-Pro dipeptidyl-peptidase,NONE,P22346,NONE,NONE
2ae2_A_cavity_1,9,2.812,0.3125,4,1,3,1,0,0,Tropinone reductase 2,NONE,P50163,Lipid transport and metabolism,NONE
3ffc_E_cavity_1,11,3.436,0.3124,5,2,2,2,0,0,"HLA class I histocompatibility antigen, B-8 alpha chain",NONE,P30460,NONE,NONE
1ny1_B_cavity_1,9,2.811,0.3124,4,3,1,0,1,0,Probable polysaccharide deacetylase pdaA,NONE,O34928,Carbohydrate transport and metabolism,NONE
1iyk_A_cavity_1,8,2.497,0.3121,7,1,0,0,0,0,Glycylpeptide N-tetradecanoyltransferase,NONE,P30418,Involved in glycylpeptide N-tetradecanoyltransferase activity,NONE
1nee_A_cavity_1,9,2.806,0.3118,5,2,1,0,1,0,Translation initiation factor 2 subunit beta,NONE,O27797,NONE,NONE
1tu8_A_cavity_1,11,3.423,0.3112,6,1,1,0,3,0,Glutathione S-transferase 2,NONE,P46427,Involved in glutathione transferase activity,NONE
1jdl_A_cavity_1,9,2.801,0.3112,6,2,1,0,0,0,Cytochrome c2 iso-2,NONE,P81154,Involved in iron ion binding,NONE
3bsz_H_cavity_1,9,2.799,0.311,5,2,1,1,0,0,Transthyretin,NONE,P02766,Involved in steroid binding,NONE
2c96_A_cavity_1,8,2.488,0.311,5,2,0,0,1,0,Psp operon transcriptional activator,NONE,P37344,NONE,NONE
1e3z_A_cavity_1,9,2.797,0.3108,3,1,2,1,2,0,Alpha-amylase,NONE,P00692,NONE,NONE
3bmw_A_cavity_2,9,2.795,0.3106,4,1,3,0,1,0,Cyclomaltodextrin glucanotransferase,NONE,P26827,Carbohydrate transport and metabolism,NONE
1vzy_B_cavity_1,9,2.794,0.3104,5,0,3,1,0,0,33 kDa chaperonin,NONE,P37565,Involved in unfolded protein binding,NONE
1myl_F_cavity_1,9,2.788,0.3097,5,1,3,0,0,0,Transcriptional repressor arc,NONE,P03050,NONE,NONE
2wfd_B_cavity_1,9,2.782,0.3091,7,1,0,1,0,0,"Leucyl-tRNA synthetase, cytoplasmic",NONE,Q9P2J5,NONE,NONE
2ves_B_cavity_2,9,2.781,0.309,4,0,3,0,2,0,UDP-3-O-[3-hydroxymyristoyl] N-acetylglucosamine deacetylase,NONE,P47205,NONE,NONE
1w9y_A_cavity_1,9,2.781,0.309,8,1,0,0,0,0,1-aminocyclopropane-1-carboxylate oxidase 1,NONE,Q08506,NONE,NONE
2jel_H_cavity_1,8,2.472,0.309,6,0,2,0,0,0,Phosphocarrier protein HPr,NONE,P0AA04,NONE,NONE
1kv9_A_cavity_1,9,2.779,0.3088,3,2,1,3,0,0,Quinohemoprotein alcohol dehydrogenase ADH IIB,NONE,Q8GR64,Involved in iron ion binding,NONE
3h1j_B_cavity_2,8,2.469,0.3087,5,1,1,0,1,0,Cytochrome b,NONE,P18946,NONE,NONE
2buw_A_cavity_1,12,3.699,0.3083,8,2,1,0,1,0,"Protocatechuate 3,4-dioxygenase alpha chain",NONE,P20371,NONE,NONE
1tty_A_cavity_1,9,2.77,0.3078,4,2,3,0,0,0,RNA polymerase sigma factor rpoD,NONE,P77994,NONE,NONE
1juv_A_cavity_1,9,2.769,0.3077,5,2,1,0,1,0,Dihydrofolate reductase,NONE,P04382,NONE,NONE
1u8w_B_cavity_1,11,3.382,0.3075,4,2,1,2,2,0,Nucleoside diphosphate kinase 1,NONE,P39207,NONE,NONE
2not_B_cavity_1,8,2.455,0.3069,4,2,1,1,0,0,Phospholipase A2,NONE,P00609,NONE,NONE
1iyn_A_cavity_1,18,5.521,0.3067,5,2,2,0,9,0,Stromal ascorbate peroxidase,NONE,Q8LNY5,Involved in peroxidase activity,NONE
1z56_C_cavity_3,13,3.984,0.3065,6,1,3,3,0,0,Ligase-interacting factor 1,NONE,P53150,NONE,NONE
2opx_A_cavity_2,9,2.759,0.3065,5,1,2,1,0,0,Lactaldehyde dehydrogenase,NONE,P25553,NONE,NONE
3blv_A_cavity_3,9,2.753,0.3059,6,1,1,1,0,0,"Isocitrate dehydrogenase [NAD] subunit 1, mitochondrial",NONE,P28834,NONE,NONE
2k1g_A_cavity_1,9,2.753,0.3059,6,2,1,0,0,0,Lipoprotein spr,NONE,P0AFV4,NONE,NONE
2azn_A_cavity_1,9,2.749,0.3054,5,2,2,0,0,0,Putative 5-amino-6-(5-phosphoribosylamino)uracil reductase,NONE,Q58085,NONE,NONE
1yx2_B_cavity_1,9,2.747,0.3052,6,1,0,2,0,0,Aminomethyltransferase,NONE,P54378,Involved in aminomethyltransferase activity,NONE
2ckz_A_cavity_1,9,2.746,0.3051,6,1,2,0,0,0,DNA-directed RNA polymerase III subunit RPC9,NONE,P47076,NONE,NONE
1q1l_C_cavity_2,9,2.746,0.3051,6,2,1,0,0,0,Chorismate synthase,NONE,O66493,NONE,NONE
1vbj_B_cavity_1,9,2.745,0.305,6,1,1,0,1,0,Prostaglandin F synthase,NONE,Q9GV41,Involved in oxidoreductase activity,NONE
2g2r_B_cavity_2,8,2.437,0.3047,4,2,1,1,0,0,Ig heavy chain Mem5,NONE,P84751,NONE,NONE
1xa8_B_cavity_1,9,2.742,0.3046,5,1,1,0,2,0,Glutathione-dependent formaldehyde-activating enzyme,NONE,Q51669,Catalyzes the condensation of formaldehyde and glutathione to S-hydroxymethylglutathione.,NONE
1pv2_A_cavity_1,9,2.741,0.3045,6,1,1,1,0,0,Chaperone protein hchA,NONE,P31658,NONE,NONE
2nq5_A_cavity_3,9,2.738,0.3042,7,1,1,0,0,0,5-methyltetrahydropteroyltriglutamate--homocysteine methyltransferase,NONE,Q8CWX6,NONE,NONE
1b80_A_cavity_1,9,2.728,0.3032,5,1,1,0,2,0,Ligninase H8,NONE,P06181,Involved in peroxidase activity,NONE
1g2p_A_cavity_1,9,2.724,0.3027,5,2,1,1,0,0,Adenine phosphoribosyltransferase 1,NONE,P49435,NONE,NONE
1w6j_A_cavity_4,7,2.118,0.3026,6,0,1,0,0,0,Lanosterol synthase,ISOMERASE,ERG7_HUMAN,"Catalyzes the cyclization of (S)-2,3 oxidosqualene to lanosterol, a reaction that forms the sterol nucleus.",NONE
1qjj_A_cavity_1,9,2.722,0.3025,5,1,1,2,0,0,Astacin,NONE,P07584,Involved in metallopeptidase activity,NONE
1n83_A_cavity_1,9,2.718,0.302,7,1,1,0,0,0,Nuclear receptor ROR-alpha,LIPID BINDING PROTEIN,RORA_HUMAN,Orphan nuclear receptor. Binds DNA as a monomer to hormone response elements (HRE) containing a single core motif half-site preceded by a short A-T-rich sequence. This isomer binds to the consensus sequence 5-[AT][TA]A[AT][CGT]TAGGTCA-3.,NONE
1e3w_B_cavity_1,9,2.716,0.3018,5,1,2,1,0,0,3-hydroxyacyl-CoA dehydrogenase type-2,NONE,O70351,Involved in oxidoreductase activity,NONE
2vv5_F_cavity_2,7,2.112,0.3017,6,1,0,0,0,0,Small-conductance mechanosensitive channel,MEMBRANE PROTEIN,MSCS_ECOLI,"Mechanosensitive channel that participates in the regulation of osmotic pressure changes within the cell, opening in response to stretch forces in the membrane lipid bilayer, without the need for other proteins. Forms an ion channel of 1.0 nanosiemens con;The channel pore is formed by TM3 and the loop between TM2 and TM3. After a sharp turn at Gly-113, an alpha-helix (residues 114-127) is oriented nearly parallel to the plane of the putative lipid bilayer. On the intracellular side of the channel, the perm",NONE
1iy8_F_cavity_1,16,4.812,0.3007,8,1,4,3,0,0,Levodione reductase,NONE,Q9LBG2,Involved in oxidoreductase activity,NONE
2w4q_A_cavity_2,9,2.702,0.3003,7,0,2,0,0,0,Prostaglandin reductase 2,NONE,Q8N8N7,NONE,NONE
1ua4_A_cavity_1,9,2.698,0.2998,3,1,2,2,1,0,ADP-dependent glucokinase,NONE,Q9V2Z6,Involved in phosphofructokinase activity,NONE
1tq5_A_cavity_1,9,2.695,0.2994,4,1,1,1,2,0,Protein yhhW,NONE,P46852,NONE,NONE
3gc2_A_cavity_1,8,2.393,0.2992,3,3,1,0,1,0,o-succinylbenzoate synthase,NONE,P58486,NONE,NONE
2buf_L_cavity_1,9,2.686,0.2984,7,1,1,0,0,0,Acetylglutamate kinase,NONE,Q9HTN2,Amino acid transport and metabolism,NONE
2zbk_C_cavity_1,9,2.685,0.2984,5,2,0,1,1,0,Type II DNA topoisomerase VI subunit A,NONE,O05208,NONE,NONE
1kar_A_cavity_3,9,2.68,0.2978,7,1,1,0,0,0,Histidinol dehydrogenase,NONE,P06988,Amino acid transport and metabolism,NONE
3f9t_B_cavity_1,9,2.678,0.2976,4,2,2,1,0,0,L-tyrosine decarboxylase,NONE,Q60358,NONE,NONE
2bs9_E_cavity_1,10,2.975,0.2975,5,2,1,2,0,0,Beta-xylosidase,NONE,Q9ZFM2,NONE,NONE
